dataset,stage,model_type,fold,train_subjects,val_subject,test_subject,selected_alpha,val_selection_mae,n_features,val_n,val_mae,val_rmse,val_r2,val_spearman,val_rounded_exact_acc,val_rounded_pm1_acc,test_n,test_mae,test_rmse,test_r2,test_spearman,test_rounded_exact_acc,test_rounded_pm1_acc
imu_only_7subject_sets,M4_add_one__eccentric_pca_movement_rate_mean,ridge,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.01,0.8675248940909104,11,23,0.8675248940909104,1.110093900654283,0.6844669991700165,0.9122663118561821,0.391304347826087,0.8260869565217391,24,1.1685210436458433,1.3976520834775967,-0.9670917055153454,0.5678655813376656,0.2916666666666667,0.75
imu_only_7subject_sets,M4_add_one__eccentric_pca_movement_rate_mean,ridge,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,100.0,1.802263182959816,11,24,1.802263182959816,2.149512482762579,-0.20751027867787486,0.819380134868015,0.20833333333333334,0.4166666666666667,23,1.3435308651126692,1.6295494752494715,0.3200758666896405,0.8480009910429783,0.21739130434782608,0.6086956521739131
imu_only_7subject_sets,M4_add_one__eccentric_pca_movement_rate_mean,ridge,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,10.0,0.7724287624187526,11,24,0.7724287624187526,0.9151048233824003,0.5856081627491625,0.7912216933391325,0.4583333333333333,0.875,24,1.8136302131612865,2.0607118731532195,-0.10980183861754944,0.831280760818223,0.08333333333333333,0.4166666666666667
imu_only_7subject_sets,M4_add_one__eccentric_pca_movement_rate_mean,ridge,4,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yushuan0513workout|ziho0512workout,yoru0511workout,yanz0510workout,100.0,1.3309986070759707,11,24,1.3309986070759707,1.6837836313113894,-0.3255140703194557,0.6798404101980573,0.2916666666666667,0.5833333333333334,24,0.8365834071924868,1.0495582026907793,0.4548919979370726,0.7173921255514449,0.3333333333333333,0.875
imu_only_7subject_sets,M4_add_one__eccentric_pca_movement_rate_mean,ridge,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.01,0.7586138583259098,11,24,0.7586138583259098,1.1676409945425676,0.3578822212015196,0.669000071224848,0.5833333333333334,0.8333333333333334,24,1.2552429977517228,1.4751941145718255,-0.017443069143177503,0.7575491442180835,0.20833333333333334,0.5833333333333334
imu_only_7subject_sets,M4_add_one__eccentric_pca_movement_rate_mean,ridge,6,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout,ziho0512workout,yushuan0513workout,100.0,1.5730327279507745,11,23,1.5730327279507745,1.72656418956183,-1.4794994393998295,0.6551482264565299,0.08695652173913043,0.43478260869565216,24,1.038890521434232,1.3806664139818154,0.10221251504684736,0.5839351615061917,0.2916666666666667,0.7916666666666666
imu_only_7subject_sets,M4_add_one__eccentric_pca_movement_rate_mean,ridge,7,hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout,haoyu0512workout,ziho0512workout,100.0,1.3774043922899837,11,24,1.3774043922899837,1.5811767474110017,-1.5176032625431173,0.5938995334906818,0.20833333333333334,0.5416666666666666,23,1.6503987629828039,1.7934642718379699,-1.6753709998680342,0.6927344195281395,0.043478260869565216,0.34782608695652173
imu_only_7subject_sets,M4_add_one__concentric_sec_last2_vs_first2,ridge,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.01,0.8067380798518625,11,23,0.8067380798518625,1.024845465837437,0.7310682221392277,0.9358637343422804,0.391304347826087,0.8260869565217391,24,1.1057042000059576,1.3114381627490987,-0.7318971180344152,0.5114586850061306,0.125,0.6666666666666666
imu_only_7subject_sets,M4_add_one__concentric_sec_last2_vs_first2,ridge,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,100.0,1.9028434470483735,11,24,1.9028434470483735,2.2690523716956577,-0.3455502864458573,0.7951381190435176,0.125,0.4166666666666667,23,1.3085739705609496,1.5976685308288725,0.34642005590606517,0.8721004863479297,0.13043478260869565,0.6086956521739131
imu_only_7subject_sets,M4_add_one__concentric_sec_last2_vs_first2,ridge,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,0.01,0.7968203161164024,11,24,0.7968203161164024,0.9351581573153146,0.5672474494713197,0.7769894875005422,0.2916666666666667,0.9166666666666666,24,2.0508590982522947,2.3317539362777246,-0.42094193173488104,0.8154132595512792,0.0,0.4166666666666667
