mode,k,acc,bal,macro,min,recall_db_bench_press,recall_db_biceps_curl,recall_db_rdl,recall_db_shoulder_press,recall_db_squat,recall_db_triceps_curl,recall_db_weighted_crunch,recall_one_arm_db_row
base_pred,28,0.8136043255769045,0.8191731605178647,0.8199309541584846,0.6335687577897798,0.662414131501472,1.0,0.7601854918847301,0.6335687577897798,1.0,1.0,0.8136620856911884,0.6835548172757475
base_pred,30,0.8100318625084484,0.8152849722034469,0.8161359967545294,0.6335687577897798,0.662414131501472,1.0,0.7601854918847301,0.6335687577897798,0.9688944934846574,1.0,0.8136620856911884,0.6835548172757475
post_pred,10,0.8269769238196389,0.8277190893251517,0.8261171386459898,0.632890365448505,0.7379784102060843,1.0,0.8744617422987744,0.7095970087245533,0.9655317360235393,1.0,0.7012934518997574,0.632890365448505
base_pred,29,0.8077145891667471,0.8128401040394594,0.8126642403001471,0.632890365448505,0.662414131501472,1.0,0.7601854918847301,0.6335687577897798,1.0,1.0,0.8136620856911884,0.632890365448505
base_pred,23,0.8117698175147243,0.8172024238652168,0.8176377363831518,0.6320598006644518,0.662414131501472,1.0,0.7601854918847301,0.669297881179892,1.0,1.0,0.8136620856911884,0.6320598006644518
base_pred,21,0.8076180361108429,0.8136416421494168,0.8139093373056692,0.6320598006644518,0.662414131501472,1.0,0.7316992381583306,0.669297881179892,1.0,1.0,0.8136620856911884,0.6320598006644518
base_post_vote,6,0.8178043835087381,0.8227680934920623,0.8221298380875584,0.6211972522080471,0.6211972522080471,1.0,0.8433256045048029,0.6518487744079767,0.9655317360235393,1.0,0.7033144704931286,0.7969269102990033
base_post_vote,5,0.8134112194650961,0.8190959375373337,0.818715804258211,0.6211972522080471,0.6211972522080471,1.0,0.8148393507784034,0.6518487744079767,0.9655317360235393,1.0,0.6600646725949879,0.8392857142857143
base_pred,7,0.809404267645071,0.8140297561846311,0.8156877408482832,0.6180274858528698,0.6211972522080471,1.0,0.8433256045048029,0.6875778977980889,0.9655317360235393,1.0,0.6180274858528698,0.776578073089701
base_post_vote,30,0.8080042483344598,0.8145215368923052,0.8144605609233256,0.6162904808635917,0.6162904808635917,1.0,0.7601854918847301,0.6335687577897798,0.9688944934846574,1.0,0.8536782538399353,0.6835548172757475
base_pred,18,0.7959833928743845,0.8018737861956594,0.8003843087660185,0.6162904808635917,0.6162904808635917,1.0,0.7601854918847301,0.669297881179892,0.9655317360235393,1.0,0.7716248989490704,0.6320598006644518
base_pred,9,0.8109491165395385,0.8162652025889514,0.8169275793653139,0.5969905135754007,0.5969905135754007,1.0,0.8433256045048029,0.7095970087245533,0.9655317360235393,1.0,0.6887631366208569,0.7259136212624585
base_pred,8,0.8025007241479193,0.8074232462429531,0.8083068286753097,0.5969905135754007,0.5969905135754007,1.0,0.8433256045048029,0.7095970087245533,0.9655317360235393,1.0,0.6180274858528698,0.7259136212624585
post_pred,3,0.7735830839046056,0.7766453133149724,0.7773661850093387,0.582053354890865,0.6790971540726202,0.9177316293929713,0.7711162636634648,0.5949314499376818,0.9655317360235393,0.9120032441200324,0.582053354890865,0.7906976744186046
base_pred,22,0.805880081104567,0.8108693673868115,0.810135995630554,0.5813953488372093,0.662414131501472,1.0,0.7601854918847301,0.669297881179892,1.0,1.0,0.8136620856911884,0.5813953488372093
base_pred,20,0.805880081104567,0.8108693673868115,0.810135304193717,0.5813953488372093,0.662414131501472,1.0,0.7601854918847301,0.669297881179892,1.0,1.0,0.8136620856911884,0.5813953488372093
base_pred,19,0.8019214058124939,0.8065608343897539,0.8062117189578295,0.5813953488372093,0.662414131501472,1.0,0.7601854918847301,0.669297881179892,0.9655317360235393,1.0,0.8136620856911884,0.5813953488372093
base_post_vote,4,0.78695568214734,0.7923135118249711,0.7918291406498141,0.5784155214227971,0.6211972522080471,1.0,0.7711162636634648,0.6115496468633154,0.9655317360235393,1.0,0.5784155214227971,0.7906976744186046
post_pred,4,0.790914357439413,0.7935716036510131,0.7933207560931537,0.5711398544866613,0.7163886162904809,1.0,0.7711162636634648,0.5949314499376818,0.9655317360235393,0.9387672343876723,0.5711398544866613,0.7906976744186046
base_pred,6,0.7960799459302887,0.7999637774423546,0.8017422619484808,0.5412287793047696,0.6211972522080471,1.0,0.8433256045048029,0.6518487744079767,0.9655317360235393,1.0,0.5412287793047696,0.776578073089701
base_post_vote,3,0.7675002413826397,0.7728697525038976,0.7728835713151925,0.5396119644300728,0.6211972522080471,0.9468849840255591,0.7426300099370653,0.5949314499376818,0.9655317360235393,0.9416058394160584,0.5396119644300728,0.8305647840531561
base_post_vote,2,0.7553828328666602,0.759836404506661,0.7598994367768253,0.5286984640258691,0.5969905135754007,0.9468849840255591,0.7711162636634648,0.5949314499376818,0.937368642286675,0.9120032441200324,0.5286984640258691,0.7906976744186046
post_pred,1,0.7369411991889543,0.7397460072446436,0.7411323453710833,0.5024252223120452,0.5969905135754007,0.8730031948881789,0.7972838688307387,0.5949314499376818,0.937368642286675,0.8751013787510138,0.5024252223120452,0.7408637873754153
base_pred,5,0.7901902095201313,0.7964955720611863,0.795805070539437,0.4987873888439774,0.6211972522080471,1.0,0.757535607817158,0.6215205650186955,0.9655317360235393,1.0,0.4987873888439774,0.907392026578073
base_pred,4,0.7876315535386695,0.7928297987617342,0.7934597761735134,0.4987873888439774,0.6211972522080471,1.0,0.786353097052004,0.6115496468633154,0.9655317360235393,1.0,0.4987873888439774,0.8592192691029901
base_pred,3,0.7620449937240513,0.7672276403435758,0.767131949282114,0.4987873888439774,0.6211972522080471,0.9109424920127795,0.7426300099370653,0.5949314499376818,0.9655317360235393,0.9732360097323601,0.4987873888439774,0.8305647840531561
post_pred,2,0.7564931930095588,0.7575291954286738,0.7575215199933947,0.47170573969280516,0.6548904154399738,0.9177316293929713,0.8307386551838357,0.5949314499376818,0.937368642286675,0.9120032441200324,0.47170573969280516,0.7408637873754153
base_pred,1,0.7251617263686395,0.7293386274187552,0.7318755086732451,0.41147938561034764,0.5688583578671901,0.887779552715655,0.7661477310367671,0.5949314499376818,0.937368642286675,0.8467153284671532,0.41147938561034764,0.8214285714285714
base_post_vote,1,0.7207685623249976,0.722590371888914,0.7241115552164381,0.38520614389652386,0.5969905135754007,0.9237220447284346,0.7972838688307387,0.5949314499376818,0.937368642286675,0.8467153284671532,0.38520614389652386,0.6985049833887044
