subject,feature,objective,boundaries,mean_abs_error,median_abs_error,p80_abs_error,p90_abs_error,within_25_samples,within_50_samples,within_100_samples
hsianshun0514workout,pca_velocity_min_s51_e81,min,266,45.1805,36.0,79.0,97.5,0.3797,0.6241,0.9023
hsianshun0514workout,pca_velocity_min_s9_e21,min,266,42.2519,34.0,69.0,103.5,0.4023,0.6617,0.8797
hsianshun0514workout,pca_velocity_min_s9_e51,min,266,39.2632,26.5,66.0,95.5,0.4737,0.6767,0.9098
hsianshun0514workout,pca_velocity_min_s9_e81,min,266,40.9962,29.0,75.0,98.5,0.4361,0.6805,0.9023
hsianshun0514workout,transition_energy_max_s21_e21,max,266,80.9887,83.5,113.0,127.0,0.1278,0.2256,0.6617
hsianshun0514workout,transition_energy_max_s21_e51,max,266,83.8947,87.0,117.0,128.0,0.1165,0.2143,0.6241
hsianshun0514workout,transition_energy_max_s21_e81,max,266,87.0263,92.0,114.0,128.0,0.0789,0.1579,0.6353
hsianshun0514workout,transition_energy_max_s51_e21,max,266,78.0977,80.0,110.0,123.5,0.1128,0.2256,0.6842
hsianshun0514workout,transition_energy_max_s51_e51,max,266,80.0414,80.0,111.0,129.5,0.109,0.2068,0.7068
hsianshun0514workout,transition_energy_max_s51_e81,max,266,82.6917,82.5,115.0,128.0,0.0902,0.188,0.6617
hsianshun0514workout,transition_energy_max_s9_e21,max,266,76.3271,80.0,111.0,124.5,0.1391,0.2556,0.718
hsianshun0514workout,transition_energy_max_s9_e51,max,266,79.0827,83.0,113.0,126.0,0.1504,0.2368,0.6692
hsianshun0514workout,transition_energy_max_s9_e81,max,266,85.5,92.0,113.0,128.0,0.1128,0.1992,0.6353
kevin0509workout,acc_jerk_max_s21_e21,max,274,69.4307,73.0,99.4,110.7,0.1058,0.3212,0.8066
kevin0509workout,acc_jerk_max_s21_e51,max,274,74.9343,83.5,106.0,113.7,0.1095,0.2701,0.7263
kevin0509workout,acc_jerk_max_s21_e81,max,274,78.5146,87.0,105.0,113.0,0.0985,0.1934,0.7409
kevin0509workout,acc_jerk_max_s51_e21,max,274,71.2664,78.0,98.0,111.7,0.1168,0.2956,0.8139
kevin0509workout,acc_jerk_max_s51_e51,max,274,76.6861,85.0,105.4,113.0,0.0839,0.2153,0.7628
