dataset,model_stage,fold,val_subject,n_features,added_feature_coef,n,mae,rmse,r2,spearman,rounded_exact_acc,rounded_pm1_acc
rpe_only_143_sets,M4_add_one__sim_to_first_slope,1,haoyu0512workout,11,-0.12912405974718794,24,1.370886654972721,1.6095781062822767,-1.6088587549101159,0.5911876634747426,0.125,0.625
rpe_only_143_sets,M4_add_one__sim_to_first_slope,2,hsianshun0514workout,11,-0.26838363492801,23,1.047905755318391,1.2659815860068966,0.5896257212190629,0.8761170688987552,0.391304347826087,0.6956521739130435
rpe_only_143_sets,M4_add_one__sim_to_first_slope,3,tsenyu0515workout,11,-0.14453575175273237,24,1.8884309342418077,2.1058084337232286,-0.15890707617739097,0.8383329836035314,0.0,0.4166666666666667
rpe_only_143_sets,M4_add_one__sim_to_first_slope,4,yanz0510workout,11,-0.17428990329782365,24,1.0437268365720598,1.185817314398817,0.29630780451629757,0.7266304381024067,0.125,0.75
rpe_only_143_sets,M4_add_one__sim_to_first_slope,5,yoru0511workout,11,-0.14476225756185768,24,1.2010599349281699,1.4567913726614141,0.007783380200179546,0.7171406025276698,0.20833333333333334,0.6666666666666666
rpe_only_143_sets,M4_add_one__sim_to_first_slope,6,yushuan0513workout,11,-0.17746784378985364,24,0.9654877597571979,1.499113960787719,-0.05843775669574702,0.5360861497894478,0.4166666666666667,0.7916666666666666
rpe_only_143_sets,M4_add_one__pca_diff_rms_mean,1,haoyu0512workout,11,-0.14416354687621177,24,1.3760981405207666,1.6009659041839523,-1.5810155454249917,0.5987808995193724,0.125,0.6666666666666666
rpe_only_143_sets,M4_add_one__pca_diff_rms_mean,2,hsianshun0514workout,11,-0.22741478875581192,23,0.9595695247610351,1.1319404897460534,0.6719254476956742,0.8736067048044892,0.30434782608695654,0.7391304347826086
rpe_only_143_sets,M4_add_one__pca_diff_rms_mean,3,tsenyu0515workout,11,-0.22779496651484807,24,1.9043301281561387,2.1084605973498203,-0.1618280890073569,0.8281954133496505,0.0,0.4166666666666667
rpe_only_143_sets,M4_add_one__pca_diff_rms_mean,4,yanz0510workout,11,-0.2546233046338729,24,1.0374633582283492,1.187706661447953,0.29406365120664013,0.7594975850581391,0.08333333333333333,0.8333333333333334
