dataset,model_stage,model_type,subjects,n_features,added_feature,added_feature_family,added_feature_coef_mean,added_feature_coef_median,n,mae,rmse,r2,spearman,rounded_exact_acc,rounded_pm1_acc,claim_role
vo2_lag45_96_sets,M4_add_one__total_tut_sec,ridge,4,11,total_tut_sec,workload_dose,0.13973858331515948,0.16532538910509084,96,1.1816488614056608,1.524317454573214,0.04060131001122569,0.4065552320362323,0.2604166666666667,0.6770833333333334,single-set TUT
vo2_lag45_96_sets,M4_add_one__rep_duration_cv,ridge,4,11,rep_duration_cv,lowdim_set_trend,-0.19946047533864086,-0.242730911910153,96,1.184936102985015,1.526912722318277,0.03733162876803631,0.46510596588564307,0.2916666666666667,0.6770833333333334,IMU trend
vo2_lag45_96_sets,M4_add_one__movement_rate_cv,ridge,4,11,movement_rate_cv,lowdim_set_trend,-0.3370788874873484,-0.4218587788385655,96,1.0787720530141025,1.4023892429446698,0.18794504723533456,0.5131664757065049,0.3333333333333333,0.7083333333333334,IMU trend
vo2_lag45_96_sets,M4_add_one__gyro_diff_gain_last2_vs_first2,ridge,4,11,gyro_diff_gain_last2_vs_first2,lowdim_set_trend,0.14422540411665755,0.1347631059816716,96,1.1539645701656502,1.4628848061959558,0.1163739019565504,0.4805634151992334,0.2916666666666667,0.6979166666666666,IMU trend
vo2_lag45_96_sets,M4_add_one__gyro_mag_diff_rms_slope,ridge,4,11,gyro_mag_diff_rms_slope,lowdim_set_trend,0.134359972368394,0.13592682311069237,96,1.169276047333097,1.4892760960923481,0.08420406074134101,0.45941623510459567,0.3125,0.7083333333333334,IMU trend
vo2_lag45_96_sets,M4_add_one__sim_to_first_slope,ridge,4,11,sim_to_first_slope,lowdim_set_trend,-0.2538137768629311,-0.26246548206823145,96,1.0971571672115172,1.4154449554837403,0.17275481930142234,0.506893182794068,0.2916666666666667,0.7395833333333334,IMU trend
vo2_lag45_96_sets,M4_add_one__pca_diff_rms_mean,ridge,4,11,pca_diff_rms_mean,lowdim_set_trend,-0.19078847224145534,-0.16721909135279567,96,1.1116028546199053,1.4353675724882213,0.14930371379582774,0.47886135898268073,0.3020833333333333,0.71875,IMU trend
vo2_lag45_96_sets,M4_add_one__vo2_mean,ridge,4,11,vo2_mean,delayed_vo2_45s,-0.07179616616415979,-0.16192322555017685,96,1.1673527367637195,1.5053973387035373,0.06426997785777866,0.42688264627963246,0.3020833333333333,0.6979166666666666,delayed VO2
vo2_lag45_96_sets,M4_add_one__vo2_peak,ridge,4,11,vo2_peak,delayed_vo2_45s,-0.08792044487897689,-0.03631769101953939,96,1.171760414608401,1.504200857087623,0.06575681302167147,0.4357333386057061,0.3020833333333333,0.7083333333333334,delayed VO2
vo2_lag45_96_sets,M4_add_one__vo2_slope,ridge,4,11,vo2_slope,delayed_vo2_45s,0.19156227049181998,0.15529441832840624,96,1.151568150530073,1.5345326357378382,0.02769944355323173,0.47220597181754836,0.3020833333333333,0.7291666666666666,delayed VO2
