plot,file,subject,exercise,set_id,set_start,set_end,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/030_hsianshun0514workout_db_biceps_curl_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_biceps_curl,1,321008,323537,0.9,7,9,0,9,7,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/031_hsianshun0514workout_db_biceps_curl_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_biceps_curl,2,367807,371139,0.9,11,25,0,25,11,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/032_hsianshun0514workout_db_rdl_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_rdl,0,112110,116226,0.9,12,10,0,10,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/033_hsianshun0514workout_db_rdl_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_rdl,1,122863,126634,0.9,12,12,0,12,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/034_hsianshun0514workout_db_rdl_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_rdl,2,134286,138028,0.9,12,11,1,10,11,0.0909,0.0833,0.087,0.9017
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/035_hsianshun0514workout_db_shoulder_press_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_shoulder_press,1,217070,221313,0.9,12,2,0,2,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/036_hsianshun0514workout_db_shoulder_press_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_shoulder_press,2,235168,238971,0.9,12,8,0,8,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/037_hsianshun0514workout_db_shoulder_press_set_3.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_shoulder_press,3,267342,271029,0.9,10,2,0,2,10,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/038_hsianshun0514workout_db_squat_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_squat,0,473497,476601,0.9,12,11,1,10,11,0.0909,0.0833,0.087,0.95
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/039_hsianshun0514workout_db_squat_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_squat,1,486271,489324,0.9,12,11,1,10,11,0.0909,0.0833,0.087,0.915
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/040_hsianshun0514workout_db_squat_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_squat,2,502284,505107,0.9,12,10,1,9,11,0.1,0.0833,0.0909,0.9719
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/041_hsianshun0514workout_db_triceps_curl_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_triceps_curl,0,407676,410731,0.9,11,11,1,10,10,0.0909,0.0909,0.0909,0.9156
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/042_hsianshun0514workout_db_triceps_curl_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_triceps_curl,1,430978,434589,0.9,12,12,5,7,7,0.4167,0.4167,0.4167,0.9338
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/043_hsianshun0514workout_db_triceps_curl_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_triceps_curl,2,448600,451823,0.9,12,12,8,4,4,0.6667,0.6667,0.6667,0.9451
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/044_hsianshun0514workout_db_weighted_crunch_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_weighted_crunch,0,164651,169003,0.9,12,9,0,9,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/045_hsianshun0514workout_db_weighted_crunch_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_weighted_crunch,1,176284,176675,0.9,1,0,0,0,1,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/046_hsianshun0514workout_db_weighted_crunch_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_weighted_crunch,2,177652,182328,0.9,13,13,0,13,13,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/047_hsianshun0514workout_db_weighted_crunch_set_3.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_weighted_crunch,3,191776,196184,0.9,12,13,0,13,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/048_hsianshun0514workout_one_arm_db_row_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,one_arm_db_row,0,43208,46964,0.9,12,11,0,11,12,0.0,0.0,0.0,0.0
