plot,subject,exercise,set_id,method,file,window_start,window_end,true_reps,predicted_reps,predicted_with_best_iou_ge_0.50,mean_best_true_iou
artifacts_rep_classification/waveform_method_comparison/sets_all/007_haoyu0512workout_db_biceps_curl_set_3.png,haoyu0512workout,db_biceps_curl,3,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,338847,344677,12,13,11,0.5559
artifacts_rep_classification/waveform_method_comparison/sets_all/007_haoyu0512workout_db_biceps_curl_set_3.png,haoyu0512workout,db_biceps_curl,3,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,338847,344677,12,8,6,0.5144
artifacts_rep_classification/waveform_method_comparison/sets_all/008_haoyu0512workout_db_rdl_set_0.png,haoyu0512workout,db_rdl,0,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,122265,129495,12,49,1,0.2187
artifacts_rep_classification/waveform_method_comparison/sets_all/008_haoyu0512workout_db_rdl_set_0.png,haoyu0512workout,db_rdl,0,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,122265,129495,12,23,12,0.4176
artifacts_rep_classification/waveform_method_comparison/sets_all/008_haoyu0512workout_db_rdl_set_0.png,haoyu0512workout,db_rdl,0,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,122265,129495,12,47,1,0.2264
artifacts_rep_classification/waveform_method_comparison/sets_all/008_haoyu0512workout_db_rdl_set_0.png,haoyu0512workout,db_rdl,0,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,122265,129495,12,14,12,0.5392
artifacts_rep_classification/waveform_method_comparison/sets_all/008_haoyu0512workout_db_rdl_set_0.png,haoyu0512workout,db_rdl,0,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,122265,129495,12,11,8,0.5708
artifacts_rep_classification/waveform_method_comparison/sets_all/009_haoyu0512workout_db_rdl_set_1.png,haoyu0512workout,db_rdl,1,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,137171,143663,12,40,4,0.2452
artifacts_rep_classification/waveform_method_comparison/sets_all/009_haoyu0512workout_db_rdl_set_1.png,haoyu0512workout,db_rdl,1,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,137171,143663,12,29,11,0.3014
artifacts_rep_classification/waveform_method_comparison/sets_all/009_haoyu0512workout_db_rdl_set_1.png,haoyu0512workout,db_rdl,1,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,137171,143663,12,38,7,0.267
artifacts_rep_classification/waveform_method_comparison/sets_all/009_haoyu0512workout_db_rdl_set_1.png,haoyu0512workout,db_rdl,1,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,137171,143663,12,4,0,0.0275
artifacts_rep_classification/waveform_method_comparison/sets_all/009_haoyu0512workout_db_rdl_set_1.png,haoyu0512workout,db_rdl,1,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,137171,143663,12,16,8,0.4944
artifacts_rep_classification/waveform_method_comparison/sets_all/010_haoyu0512workout_db_rdl_set_2.png,haoyu0512workout,db_rdl,2,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,156106,163653,12,54,0,0.2077
artifacts_rep_classification/waveform_method_comparison/sets_all/010_haoyu0512workout_db_rdl_set_2.png,haoyu0512workout,db_rdl,2,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,156106,163653,12,40,6,0.2704
artifacts_rep_classification/waveform_method_comparison/sets_all/010_haoyu0512workout_db_rdl_set_2.png,haoyu0512workout,db_rdl,2,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,156106,163653,12,54,0,0.2016
artifacts_rep_classification/waveform_method_comparison/sets_all/010_haoyu0512workout_db_rdl_set_2.png,haoyu0512workout,db_rdl,2,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,156106,163653,12,14,6,0.4616
artifacts_rep_classification/waveform_method_comparison/sets_all/010_haoyu0512workout_db_rdl_set_2.png,haoyu0512workout,db_rdl,2,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,156106,163653,12,18,11,0.5389
