pair_name,fold,train_subjects,val_subjects,val_samples,accuracy,balanced_accuracy
ranked_pair_11,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.66,0.6484
ranked_pair_11,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6898,0.6929
ranked_pair_11,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5717,0.5603
ranked_pair_12,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6135,0.5966
ranked_pair_12,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.528,0.5285
ranked_pair_12,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.5633,0.5578
ranked_pair_12,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6153,0.6187
ranked_pair_12,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.4403,0.4334
db_bench_press_best_effect_pair,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.6748,0.6698
db_bench_press_best_effect_pair,2,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,322,0.6087,0.6009
db_bench_press_best_effect_pair,3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,ziho0512workout","yoru0511workout,yushuan0513workout",600,0.6783,0.6709
db_bench_press_best_effect_pair,4,"hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,kevin0509workout",590,0.6085,0.6086
db_bench_press_best_effect_pair,5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout","hsianshun0514workout,ziho0512workout",586,0.5324,0.5239
db_biceps_curl_best_effect_pair,1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout",yanz0510workout,326,0.3896,0.3981
