plot,subject,exercise,set_id,method,file,window_start,window_end,true_reps,predicted_reps,predicted_with_best_iou_ge_0.50,mean_best_true_iou,set_key,matched_rate_at_iou_0.50,prediction_ratio,over_segmentation_ratio
artifacts_rep_classification/waveform_method_comparison/sets_all/006_haoyu0512workout_db_biceps_curl_set_2.png,haoyu0512workout,db_biceps_curl,2,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,336268,337124,1,1,0,0.2008,haoyu0512workout | db_biceps_curl | set 2,0.0,1.0,0.0
artifacts_rep_classification/waveform_method_comparison/sets_all/006_haoyu0512workout_db_biceps_curl_set_2.png,haoyu0512workout,db_biceps_curl,2,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,336268,337124,1,5,0,0.1676,haoyu0512workout | db_biceps_curl | set 2,0.0,5.0,4.0
artifacts_rep_classification/waveform_method_comparison/sets_all/006_haoyu0512workout_db_biceps_curl_set_2.png,haoyu0512workout,db_biceps_curl,2,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,336268,337124,1,0,0,0.0,haoyu0512workout | db_biceps_curl | set 2,0.0,0.0,-1.0
artifacts_rep_classification/waveform_method_comparison/sets_all/006_haoyu0512workout_db_biceps_curl_set_2.png,haoyu0512workout,db_biceps_curl,2,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,336268,337124,1,1,0,0.2008,haoyu0512workout | db_biceps_curl | set 2,0.0,1.0,0.0
artifacts_rep_classification/waveform_method_comparison/sets_all/006_haoyu0512workout_db_biceps_curl_set_2.png,haoyu0512workout,db_biceps_curl,2,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,336268,337124,1,1,0,0.2008,haoyu0512workout | db_biceps_curl | set 2,0.0,1.0,0.0
artifacts_rep_classification/waveform_method_comparison/sets_all/007_haoyu0512workout_db_biceps_curl_set_3.png,haoyu0512workout,db_biceps_curl,3,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,338847,344677,12,53,0,0.2148,haoyu0512workout | db_biceps_curl | set 3,0.0,4.416666666666667,3.4166666666666665
artifacts_rep_classification/waveform_method_comparison/sets_all/007_haoyu0512workout_db_biceps_curl_set_3.png,haoyu0512workout,db_biceps_curl,3,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,338847,344677,12,36,1,0.2721,haoyu0512workout | db_biceps_curl | set 3,0.08333333333333333,3.0,2.0
artifacts_rep_classification/waveform_method_comparison/sets_all/007_haoyu0512workout_db_biceps_curl_set_3.png,haoyu0512workout,db_biceps_curl,3,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,338847,344677,12,25,8,0.4113,haoyu0512workout | db_biceps_curl | set 3,0.6666666666666666,2.0833333333333335,1.0833333333333333
artifacts_rep_classification/waveform_method_comparison/sets_all/007_haoyu0512workout_db_biceps_curl_set_3.png,haoyu0512workout,db_biceps_curl,3,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,338847,344677,12,13,11,0.5559,haoyu0512workout | db_biceps_curl | set 3,0.9166666666666666,1.0833333333333333,0.08333333333333333
artifacts_rep_classification/waveform_method_comparison/sets_all/007_haoyu0512workout_db_biceps_curl_set_3.png,haoyu0512workout,db_biceps_curl,3,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,338847,344677,12,8,6,0.5144,haoyu0512workout | db_biceps_curl | set 3,0.5,0.6666666666666666,-0.3333333333333333
