file,subject,exercise,set_id,boundary,local_boundary,feature,objective,candidate,signed_error_samples,abs_error_samples,search_radius,candidate_score
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4597,4238,gyro_magnitude_min,min,4630,33,33,160,-0.5999
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4597,4238,acc_jerk_max,max,4521,-76,76,160,1.0253
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4597,4238,gyro_jerk_max,max,4534,-63,63,160,1.5849
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4597,4238,motion_energy_min,min,4632,35,35,160,-0.3419
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,4597,4238,transition_energy_max,max,4531,-66,66,160,1.626
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,5081,4722,pca_extreme_max,max,5237,156,156,160,3.3216
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,5081,4722,pca_velocity_min,min,5087,6,6,160,-0.3158
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,5081,4722,acc_magnitude_min,min,5020,-61,61,160,0.8391
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,5081,4722,gyro_magnitude_min,min,5069,-12,12,160,-0.3299
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,5081,4722,acc_jerk_max,max,5011,-70,70,160,0.913
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,5081,4722,gyro_jerk_max,max,5005,-76,76,160,0.8677
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,5081,4722,motion_energy_min,min,5112,31,31,160,-0.1956
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,0,5081,4722,transition_energy_max,max,5003,-78,78,160,1.0115
