fold,file,subject,exercise,set_id,period,expected_count,count_options,candidate_count,predicted_reps,boundaries
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,0,376.0,13,"11,12,13,14,15",470,13,"246003,246357,246780,247150,247526,247907,248288,248642,249049,249378,249711,250190,250572,250953"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,1,387.0,11,"9,10,11,12,13",416,12,"264367,264710,265137,265474,265832,266175,266553,266917,267293,267646,268010,268420,268739"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,2,423.0,12,"10,11,12,13,14",423,11,"279757,280267,280664,281138,281655,282097,282535,282964,283458,283997,284394,284939"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_squat,0,361.0,12,"10,11,12,13,14",425,12,"422448,422815,423132,423502,423929,424315,424670,425065,425401,425786,426161,426549,426891"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_squat,1,316.0,12,"10,11,12,13,14",438,12,"438166,438459,438773,439090,439410,439761,440063,440387,440720,441011,441338,441656,441973"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_squat,2,283.0,12,"10,11,12,13,14",448,12,"452861,453145,453401,453685,453994,454310,454584,454855,455147,455420,455704,455984,456244"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_triceps_curl,0,414.0,12,"10,11,12,13,14",475,12,"374608,375012,375416,375813,376225,376657,377034,377433,377859,378246,378672,379077,379459"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_triceps_curl,1,396.0,12,"10,11,12,13,14",416,13,"386605,386940,387326,387680,388011,388403,388769,389129,389480,389835,390177,390586,390966,391293"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_triceps_curl,2,362.0,12,"10,11,12,13,14",491,12,"400511,400903,401315,401630,402052,402356,402686,403079,403391,403714,404107,404494,404826"
2,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_weighted_crunch,0,347.0,12,"10,11,12,13,14",405,12,"180691,181025,181392,181760,182098,182489,182802,183104,183509,183857,184276,184574,184913"
