block_index,file,subject,exercise,set_id,start,end,samples,predicted_reps,prediction_seconds
53,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_bench_press,1:active0,11655,14978,3323,12,0.05053483299889194
54,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_bench_press,2:active0,20890,24245,3355,12,0.04932491700128594
55,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_biceps_curl,0:active0,226852,230829,3977,12,0.050402916998791625
56,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_biceps_curl,1:active0,240317,244169,3852,12,0.04908070799865527
57,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_biceps_curl,2:active0,253518,258055,4537,12,0.05369862499901501
58,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_rdl,0:active0,86297,90269,3972,12,0.054640000000290456
59,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_rdl,1:active0,96504,100510,4006,12,0.053335874999902444
60,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_rdl,2:active0,108375,112103,3728,12,0.051876708999770926
61,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,0:active0,180405,181174,769,3,0.02143291700122063
62,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,1:active0,188153,190943,2790,12,0.04290250000121887
63,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,2:active0,198200,201408,3208,12,0.04748337500132038
64,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,3:active0,211264,214474,3210,12,0.043999666999297915
65,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_squat,0:active0,319879,324164,4285,12,0.05882066699996358
66,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_squat,1:active0,330751,334667,3916,11,0.05132991699974809
67,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_squat,2:active0,344338,347939,3601,12,0.0498332080005639
68,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_triceps_curl,0:active0,270488,275619,5131,12,0.060985916999925394
69,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_triceps_curl,1:active0,288843,293134,4291,12,0.0569109580010263
70,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_triceps_curl,2:active0,302705,307002,4297,13,0.05831141699854925
71,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_weighted_crunch,0:active0,133307,136582,3275,12,0.05329166699993948
72,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_weighted_crunch,1:active0,145338,148353,3015,12,0.04435924999961571
73,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_weighted_crunch,2:active0,159207,162079,2872,13,0.0434646249996149
74,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,0:active0,42995,45075,2080,8,0.035814167000353336
75,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,1:active0,46759,50010,3251,12,0.04702612499932002
76,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,2:active0,56767,60017,3250,12,0.04760879100103921
77,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,one_arm_db_row,3:active0,66229,69230,3001,12,0.04376816699914343
78,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_bench_press,0:active0,331,3250,2919,13,0.043510499999683816
79,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_bench_press,1:active0,8982,11826,2844,13,0.042759875001138425
80,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_bench_press,2:active0,17832,20791,2959,13,0.04185991600024863
81,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,0:active0,170759,174439,3680,12,0.049687208998875576
82,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,1:active0,179591,182945,3354,12,0.04702720800014504
83,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_biceps_curl,2:active0,188012,191311,3299,12,0.04554883299897483
84,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_rdl,0:active0,72001,75392,3391,12,0.047825166999245994
85,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_rdl,1:active0,81129,84171,3042,12,0.04660520799916412
86,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_rdl,2:active0,91062,93890,2828,12,0.05094812500101398
87,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_shoulder_press,0:active0,145533,148423,2890,12,0.043131624999659834
88,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_shoulder_press,1:active0,153865,156590,2725,12,0.04659183299918368
89,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_shoulder_press,2:active0,162461,165141,2680,12,0.04133212499982619
90,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_squat,0:active0,239165,241934,2769,12,0.044809666000219295
91,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_squat,0:active1,260745,263525,2780,12,0.043653042001096765
92,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_squat,1:active0,249886,252839,2953,12,0.04505166699891561
93,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_squat,1:active1,270387,273221,2834,12,0.044187084000441246
94,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_squat,2:active0,278667,281342,2675,12,0.04335491599886154
95,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_triceps_curl,0:active0,199904,203350,3446,12,0.04936237500078278
96,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_triceps_curl,1:active0,210786,213763,2977,12,0.04358837499967194
97,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_triceps_curl,2:active0,219440,222568,3128,12,0.04775150000023132
98,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_weighted_crunch,0:active0,105224,108641,3417,6,0.04186233399923367
99,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_weighted_crunch,1:active0,114252,118818,4566,15,0.06584895799824153
100,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,db_weighted_crunch,2:active0,125153,128244,3091,10,0.04638520799926482
101,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,one_arm_db_row,0:active0,34027,37006,2979,13,0.045115334000001894
102,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,one_arm_db_row,1:active0,42399,45435,3036,13,0.04544762499972421
103,datasets/workout/thomas0506workout/thomas0506_whole_session_20260506_154720.csv,thomas0506,one_arm_db_row,2:active0,54832,57623,2791,12,0.04300895899905299
104,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_bench_press,0:active0,125,4678,4553,12,0.05863004200000432
105,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_bench_press,1:active0,27570,33238,5668,5,0.0561047499995766
106,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_bench_press,2:active0,42227,48087,5860,12,0.06835495800078206
107,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_biceps_curl,0:active0,351600,358175,6575,12,0.06685045799895306
108,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_biceps_curl,1:active0,366571,372130,5559,10,0.06281475000105274
