dataset,feature,feature_type,family,n,subjects,raw_spearman,abs_raw_spearman,subject_centered_spearman,exercise_centered_spearman,subject_exercise_centered_spearman,single_feature_mae,single_feature_spearman,delta_mae_vs_global_mean,delta_spearman_vs_global_mean,delta_mae_vs_exercise_context,delta_spearman_vs_exercise_context,rank_by_abs_raw_spearman,rank_by_univariate_mae,rank_by_mae_gain_vs_global,evidence_note
rpe_only_143_sets,mag_mag_range_std,numeric,variability,143,6,0.14073458050288792,0.14073458050288792,0.186764116306791,0.004530422368054731,-0.08193263311690799,1.525578291605271,-0.08702507757220354,0.02499368543729452,0.3512767987993245,-0.1503868164137958,-0.35741800855538264,22.0,10.0,10.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,pca_range_max,numeric,pca_waveform,143,6,-0.1400526278952024,0.1400526278952024,-0.03375782358352639,-0.2260917042190978,-0.041845077593843316,1.5348975912812488,-0.1024263619995975,0.015674385761316634,0.3358755143719306,-0.1597061160897737,-0.3728192929827766,23.0,14.0,14.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gyro_mag_diff_rms_max,numeric,gyro_waveform,143,6,-0.1399921489177624,0.1399921489177624,-0.10050097110555416,-0.12047841579047315,0.060681845174448634,1.5477856059555086,-0.17085936771395172,0.002786371087056816,0.26744250865757635,-0.17259413076403352,-0.44125229869713084,24.0,29.0,29.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,pca_range_std,numeric,pca_waveform,143,6,-0.13696611456378152,0.13696611456378152,-0.00890018208044771,-0.2157939822650432,0.048342146888279126,1.5438063616432474,-0.19085913990876663,0.006765615399318081,0.24744273646276144,-0.16861488645177225,-0.46125207089194575,25.0,23.0,23.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,rep_duration_slope,numeric,trend,143,6,0.13196304329210676,0.13196304329210676,0.24277239509143664,0.05054143303028495,0.15940766341729778,1.588601830840713,-0.2694609557609642,-0.038029853798147606,0.16884092061056388,-0.21341035564923794,-0.5398538867441434,26.0,60.0,60.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,sim_to_first_last,numeric,rep_similarity,143,6,-0.1316460500310419,0.1316460500310419,-0.1138943891532085,-0.10963211208028678,-0.052507515355791984,1.5573842651689918,-0.26902509002700004,-0.0068122881264263135,0.16927678634452803,-0.18219278997751664,-0.5394180210101791,27.0,40.0,40.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,sim_to_first_last_minus_first,numeric,rep_similarity,143,6,-0.1316460500310419,0.1316460500310419,-0.1138943891532085,-0.10963211208028678,-0.052507515355791984,1.5573842651689918,-0.26902509002700004,-0.0068122881264263135,0.16927678634452803,-0.18219278997751664,-0.5394180210101791,27.0,40.0,40.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gyro_mag_diff_rms_mean,numeric,gyro_waveform,143,6,-0.12910593297856177,0.12910593297856177,-0.11852938702335855,-0.08350770373116392,-0.07107880243624455,1.5541508652197054,-0.19758690477847182,-0.003578888177139916,0.24071497159305624,-0.17895939002823025,-0.4679798357616509,29.0,36.0,36.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gy_range_mean,numeric,other_numeric,143,6,-0.12895786375793278,0.12895786375793278,-0.031160909883229553,-0.11680682178969591,0.009116888493617564,1.5446574857798574,-0.14484923645078887,0.005914491262708044,0.2934526399207392,-0.1694660105883823,-0.415242167433968,30.0,25.0,25.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,gz_range_max,numeric,other_numeric,143,6,-0.12809238873594656,0.12809238873594656,-0.09848959570002361,-0.055351282809702695,0.06981313958667913,1.543585324739465,-0.25553827805787926,0.00698665230310036,0.1827635983136488,-0.16839384954798997,-0.5259312090410584,31.0,22.0,22.0,association exists but not stronger than exercise/progression context
