folder,source_file,source_row_index,row_key,row_instance,exercise_index,exercise,set_id,rep_id,kg,rpe,rpe_class,completed,raw_value,filled_from_previous
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,8,10.5,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,9,10.5,8.0,8.0,True,8.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,10,10.5,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,10,3_2,0,3,db_rdl,2,11,10.5,9.0,9.0,True,9.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,0,8.0,1.0,1.0,True,1.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,1,8.0,1.0,1.0,True,1.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,2,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,3,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,4,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,5,8.0,3.0,3.0,True,3.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,6,8.0,4.0,4.0,True,4.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,7,8.0,4.0,4.0,True,4.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,8,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,9,8.0,5.0,5.0,True,5.0,False
haoyu0512workout,datasets/workout/haoyu0512workout/haoyu0512workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,10,8.0,5.0,5.0,True,5.0,False
