folder,source_file,source_row_index,row_key,row_instance,exercise_index,exercise,set_id,kg,n_completed_reps,first_rpe,final_rpe,final_rpe_class,mean_rpe,median_rpe,min_rpe,max_rpe,rpe_slope_last_minus_first,stopped_at_rep,has_x,raw_rpe_sequence
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,16,5_1,0,5,db_shoulder_press,1,13.0,12,1.0,9.0,9,5.25,5.0,1.0,9.0,8.0,,False,1.0|1.0|2.0|3.0|5.0|5.0|5.0|7|8|8|9|9
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,17,5_2,0,5,db_shoulder_press,2,11.0,12,6.0,10.0,10,7.833333333333333,8.0,6.0,10.0,4.0,,False,6.0|6.0|7.0|7.0|7.0|8.0|8.0|8|9|9|9|10
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,18,5_3,0,5,db_shoulder_press,3,11.0,10,7.0,10.0,10,8.0,8.0,7.0,10.0,3.0,10.0,True,7.0|7.0|7.0|8.0|8.0|8.0|8.0|8|9|10
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,20,6_0,0,6,db_biceps_curl,0,11.0,11,1.0,9.0,9,5.090909090909091,5.0,1.0,9.0,8.0,11.0,True,1.0|1.0|3.0|3.0|4.0|5.0|6.0|7|8|9|9
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,21,6_1,0,6,db_biceps_curl,1,10.5,7,5.0,10.0,10,6.571428571428571,6.0,5.0,10.0,5.0,7.0,True,5.0|5.0|5.0|6.0|7.0|8.0|10.0
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,22,6_2,0,6,db_biceps_curl,2,8.0,11,5.0,10.0,10,7.090909090909091,7.0,5.0,10.0,5.0,11.0,True,5.0|5.0|5.0|6.0|7.0|7.0|7.0|8|9|9|10
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,24,7_0,0,7,db_triceps_curl,0,5.0,12,1.0,4.0,4,2.6666666666666665,3.0,1.0,4.0,3.0,,False,1.0|1.0|2.0|2.0|2.0|3.0|3.0|3|3|4|4|4
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,25,7_1,0,7,db_triceps_curl,1,8.0,12,3.0,7.0,7,4.416666666666667,4.0,3.0,7.0,4.0,,False,3.0|3.0|3.0|3.0|4.0|4.0|4.0|5|5|6|6|7
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,26,7_2,0,7,db_triceps_curl,2,8.0,12,5.0,8.0,8,6.333333333333333,6.0,5.0,8.0,3.0,,False,5.0|5.0|5.0|5.0|6.0|6.0|6.0|7|7|8|8|8
hsianshun0514workout,datasets/workout/hsianshun0514workout/hsianshun0514workout.xlsx,28,8_0,0,8,db_squat,0,15.0,12,1.0,4.0,4,2.5833333333333335,3.0,1.0,4.0,3.0,,False,1.0|1.0|1.0|1.0|3.0|3.0|3.0|3|3|4|4|4
