timestamp,ax,ay,az
9345823,-1291,2070,14045
9345833,-1022,2567,16974
9345843,249,1946,17091
9345856,154,1895,16540
9345866,-81,2226,17629
9345876,-1108,2476,16434
9345946,-1060,2261,15448
9345956,-964,2601,17368
9345966,-784,2542,17542
9345986,-1167,2560,16623
9345996,-1537,2379,14815
9346016,-1446,2564,15911
9346026,-795,2570,17730
9346036,-1267,2619,16813
9346046,-1455,2535,15738
9346056,-250,1830,15200
9346066,-204,2374,18233
9346076,-100,2341,18144
9346096,-1078,2169,14863
9346116,88,1762,15704
9346126,-288,1752,14789
9346136,-1083,1932,13843
9346146,-1160,2007,13881
9346156,-82,1751,15282
9346166,-472,1736,14390
9346176,-855,1989,14498
9346189,276,1848,16474
9346199,276,1848,16474
9346209,262,1850,16518
9346219,170,1782,16172
9346229,215,1791,16239
9346239,-799,2337,16315
9346249,-780,2398,16815
9346259,-780,2398,16815
9346269,-702,2004,15133
9346279,-137,1804,15429
9346289,-137,1804,15429
9346299,-1204,2065,14092
9346309,-1167,1998,13915
9346319,-1167,1998,13915
9346329,-1103,2054,14263
9346339,-159,2291,17807
9346349,-1365,2552,16012
9346379,-1587,2384,14660
9346389,-1001,2590,17200
9346399,25,2300,18157
9346409,25,2300,18157
9346419,-57,2007,16690
9346429,-965,2514,16953
9346439,-965,2514,16953
9346449,34,2264,18114
9346459,167,2008,17151
9346469,123,2171,17986
9346479,295,1907,16943
9346499,-977,1931,13990
9346509,-1445,2289,14693
9346529,3,2275,18099
9346539,192,1841,16588
9346549,132,1833,16221
9346559,278,1859,16724
9346569,294,1817,16634
9346579,-553,1799,14378
9346593,-553,1799,14378
9346613,-907,2515,17078
9346627,-1426,2323,14894
9346636,-74,2287,17979
9346646,44,1843,16179
9346676,-309,1756,14801
9346686,-619,1832,14294
9346696,289,1911,17000
9346706,222,1848,16369
9346716,42,2267,18157
9346746,-1050,1987,14017
9346756,-895,2493,16981
9346766,-645,2534,17813
9346786,244,2005,17413
9346796,-463,1764,14540
9346806,-1293,2122,14013
9346816,-350,2108,16452
9346826,-1268,2239,14791
9346836,-170,1737,15012
9346846,254,1854,16554
9346856,180,1809,16240
9346866,5,2172,17747
9346876,-385,2426,18046
9346886,236,1934,17086
9346896,-38,1755,15426
9346906,-896,1912,13987
9346916,-117,1776,15141
9346926,-44,2243,17780
9346936,-1106,2209,15017
9346946,131,1816,16115
9346956,-1254,2057,13978
9346966,-1541,2275,14334
9346976,-554,2328,16876
9346986,224,1840,16512
9346996,-228,1762,14940
9347006,273,1879,16723
9347016,227,1959,17234
9347026,-953,1937,14083
9347036,-1182,2576,16624
9347046,-327,2309,17501
9347056,-936,2412,16360
9347066,-711,2288,16329
9347076,-329,1945,15684
9347086,-1574,2391,14753
9347096,-624,2377,17085
9347116,-1008,2508,16790
9347126,-301,1959,15850
9347136,-997,2498,16637
9347146,262,1914,17004
9347156,-905,2099,15049
9347166,-751,2449,17079
9347176,-458,1822,14637
9347186,-1029,1961,13840
9347202,-751,2296,16431
9347212,-837,2262,15921
9347222,-248,1824,15303
9347242,-783,2180,15875
9347252,-500,2084,15920
9347266,-1496,2290,14474
9347276,-1542,2495,15486
9347286,-1531,2316,14429
9347296,-250,1819,15033
9347306,137,1917,16758
9347316,-463,2484,18020
9347326,24,1822,15972
9347336,-843,1930,14232
9347346,-1440,2492,15544
9347359,-142,2348,18150
9347379,-736,2210,15937
9347389,-671,2187,16014
9347399,-227,1973,16075
9347409,-1377,2360,15100
9347419,-251,2081,16509
9347429,-984,2487,16567
9347439,259,2056,17663
9347449,-417,1892,15273
9347459,-1536,2365,14697
9347469,-260,2321,17674
9347479,91,1859,16233
9347489,-932,1902,14003
9347499,-1393,2319,14754
9347509,-242,2111,16790
9347519,-1210,2446,16114
9347529,-51,2109,17196
9347539,-909,2188,15317
9347549,-117,1952,16205
9347569,-1034,2133,14706
9347579,-548,2080,15683
9347589,-149,2106,16871
9347599,-1321,2121,14079
9347609,-803,2391,16680
9347619,-954,2080,14745
9347629,-466,2064,15984
9347639,-298,2108,16548
9347649,-1059,1973,14022
9347659,-1468,2483,15519
9347669,93,2048,17208
9347679,-910,2018,14564
9347689,-717,2540,17578
9347699,-119,2142,17132
9347709,-997,2447,16477
9347719,-696,2081,15557
9347729,-173,2108,16834
9347739,-786,2280,16165
9347749,24,1887,16161
9347759,-975,2263,15642
9347769,-539,1974,15192
9347779,-494,2294,17033
9347799,-390,2075,16229
9347809,-1221,2421,15707
9347819,-484,1975,15474
9347829,-357,2242,16889
9347839,-1380,2174,14208
9347859,-499,2363,17287
9347869,-1040,2284,15515
9347889,-1120,2063,14400
9347899,-1395,2538,15867
9347909,129,2002,16989
9347919,16,1753,15523
9347929,188,1813,16287
9347939,67,1762,15701
9347949,-603,1891,14676
9347959,-743,2384,16686
9347969,-1158,2284,15220
9347979,155,1945,16900
9347989,-505,1799,14534
9347999,-1240,2492,16063
9348009,-222,2094,16715
9348019,-1431,2545,16002
9348039,-782,2041,15104
9348049,-704,2134,15626
9348059,-674,2304,16585
9348069,-742,2308,16358
9348079,-781,2181,15796
9348089,-412,1988,15679
9348099,-293,2079,16551
9348109,-642,2209,16158
9348119,-641,2216,16154
9348129,-658,2158,15972
9348139,-795,2353,16539
9348149,-681,2141,15680
9348159,-12,2028,16775
9348173,-1247,2244,14921
9348183,-277,2047,16417
9348193,-1321,2149,14141
9348204,88,1795,14157
9348217,-634,1795,14157
9348227,-1008,1953,13908
9348237,-637,1814,14161
9348247,-1061,2333,15705
9348257,-826,2056,15140
9348267,-774,2473,17129
9348277,233,1863,16690
9348287,-1029,2428,16129
9348297,116,2217,18135
9348307,-71,2239,17757
9348317,-853,1906,14157
9348327,-1394,2178,14091
9348337,-1062,2450,16355
9348347,85,2200,18001
9348357,-340,1847,15130
9348377,-1407,2591,16083
9348387,-675,2535,17821
9348397,-846,2583,17417
9348407,-576,2526,17940
9348417,-720,2551,17750
9348427,-1154,2594,16852
9348437,-1472,2560,16004
9348447,-737,2576,17792
9348457,112,2224,18082
9348467,-705,1953,14642
9348487,-1251,2238,14777
9348497,-727,2561,17759
9348507,-819,2551,17430
9348520,-896,2030,14775
9348530,-1409,2146,14062
9348540,-1337,2499,15893
9348556,-1342,2032,13917
9348570,-1373,2119,13832
9348586,-1491,2482,15188
9348596,-1545,2378,14709
9348606,-1613,2357,17529
9348627,-54,2300,18092
9348637,292,1880,16925
9348647,-1124,2126,14562
9348657,-1244,2617,16666
9348667,-402,2480,18184
9348677,-563,2524,18001
9348687,-1239,2614,16684
9348707,-740,2571,17682
9348717,-8,2247,18055
9348727,-346,1831,15216
9348747,-1602,2315,14526
9348757,-1285,2137,14155
9348767,258,1906,16886
9348777,-297,2360,17763
9348787,-702,1927,14549
9348803,153,1761,15956
9348813,196,1892,16546
9348823,-115,2276,17845
9348833,-920,2596,17390
