feature,anova_f,mutual_info,rf_importance,fold_rf_importance_mean,fold_rf_importance_std,fold_rank_mean,fold_rank_std,top20_fold_count,anova_f_norm,mutual_info_norm,rf_importance_norm,fold_rf_importance_mean_norm,top20_fold_ratio,composite_score,anova_rank,mutual_info_rank,rf_rank,composite_rank,sensor_group,family,source,description
acc_norm__min,188.7495184438075,0.3556992689323004,0.0014210606721556324,0.0014708588176639407,0.0003200790046190656,158.8,18.212632978237934,0,0.013044113143377221,0.26860558338024454,0.05335736024382575,0.05223193032620567,0.0,0.07744779741873063,133.0,184.0,165.0,183.0,acc,time,acc_norm,min of acc_norm
axis_mz__range,524.7626263159128,0.34059421193223915,0.0011237664795351935,0.001427795403168262,0.0009652943656996859,170.8,61.71061497019779,0,0.03626532733707815,0.2571990301430898,0.04219468883586717,0.050702697718334314,0.0,0.07727234880687389,73.0,190.0,184.0,184.0,mag,time,mz,range of mz
axis_gz__median,32.210320116386114,0.39508549606934196,0.0010431614816009565,0.001191896546593273,0.0007837503805341803,187.4,56.68156666853872,0,0.002225992751910644,0.29834801312728293,0.039168167874094405,0.0423256512658232,0.0,0.07641356500382224,297.0,168.0,191.0,185.0,gyro,time,gz,median of gz
mag_norm__range,269.42545399283074,0.3288445171354346,0.0014824233690523794,0.0015136015114302751,0.0009048276843899828,165.8,51.4946599173157,0,0.018619470579653602,0.24832627188606854,0.05566137976108239,0.05374977376294238,0.0,0.07527137919794938,109.0,199.0,160.0,186.0,mag,time,mag_norm,range of mag_norm
mag_norm__std,249.39568841197922,0.325669370821168,0.0018515165298397867,0.001169297063826688,0.0009120053989600109,194.2,65.44234103392085,0,0.017235252327728722,0.24592856656994222,0.06951992720353047,0.04152311699462284,0.0,0.07484137261916485,114.0,202.0,139.0,187.0,mag,time,mag_norm,std of mag_norm
corr__az__mz,127.11352780619836,0.37900512156511423,0.0009487663106113806,0.0011258808343293694,0.00043859572393631645,180.4,30.046630426721734,0,0.008784569372300174,0.2862049508498539,0.035623859568011944,0.03998135551017789,0.0,0.07411894706006879,166.0,175.0,200.0,188.0,acc_mag,axis_correlation,"az,mz",Correlation between az and mz
acc_pca__pca1_var_ratio,394.246198884358,0.38132632176465053,0.0007313125000418359,0.0007842590534510206,0.00036148504116063104,216.8,52.141154571029595,0,0.027245590171531817,0.2879578004849131,0.027458999661396272,0.02784996339934847,0.0,0.07410247074343793,86.0,174.0,220.0,189.0,acc,pca,acc_pca,PCA variance ratio
axis_mz__haar_l4_energy_ratio,23.08341382854599,0.32439009893991866,0.001622963729073647,0.0015252673764309722,0.0008698158624029127,165.4,54.316664109645025,0,0.0015952499598275445,0.24496252699669158,0.06093832730131414,0.05416404237974891,0.0,0.07233202932751644,326.0,204.0,153.0,190.0,mag,wavelet,mz,haar_l4_energy_ratio of mz
acc_norm__skewness,120.71940026852393,0.21338828670662702,0.0035550399212572383,0.0015900153983690658,0.0008909751340531304,173.0,82.19793184746196,0,0.008342683619466107,0.1611397330373865,0.13348307322583486,0.05646332095768978,0.0,0.07188576216807545,172.0,265.0,86.0,191.0,acc,time,acc_norm,skewness of acc_norm
axis_az__range,282.13488866099476,0.3426386613484702,0.001110192272500856,0.0010510041065524343,0.0005649317334212087,189.6,45.72526653831555,0,0.019497794959851943,0.2587428919839829,0.041685010488596644,0.03732239464912759,0.0,0.07144961841631181,106.0,187.0,185.0,192.0,acc,time,az,range of az
