feature,anova_f,mutual_info,rf_importance,fold_rf_importance_mean,fold_rf_importance_std,fold_rank_mean,fold_rank_std,top20_fold_count,anova_f_norm,mutual_info_norm,rf_importance_norm,fold_rf_importance_mean_norm,top20_fold_ratio,composite_score,anova_rank,mutual_info_rank,rf_rank,composite_rank,sensor_group,family,source,description
axis_gz__haar_l3_energy_ratio,305.92397360612813,0.6214707623231748,0.008259303379889999,0.007102329130020657,0.002257342124113097,43.0,14.815532390029054,0,0.021141812481910483,0.4693023889777891,0.3101166856833359,0.2522120789690762,0.0,0.21055459322242234,104.0,77.0,29.0,40.0,gyro,wavelet,gz,haar_l3_energy_ratio of gz
mag_norm__rms,34.11591642604308,0.9534679822313645,0.00398998749990008,0.004773133945714245,0.0025156448288718098,71.6,30.385851970942003,0,0.0023576848170014887,0.7200094179850133,0.14981429334581872,0.16949961253667756,0.0,0.2083362017369022,288.0,21.0,75.0,41.0,mag,time,mag_norm,rms of mag_norm
mag_norm__abs_mean,33.95396351510932,0.9640378732939539,0.004313469497316229,0.004150127586971843,0.0012160683628127948,77.2,19.81665965797465,0,0.002346492565431596,0.7279912498387998,0.16196025291441585,0.14737592239604358,0.0,0.2079347835429382,289.5,15.5,67.0,42.0,mag,time,mag_norm,abs_mean of mag_norm
mag_norm__median,34.69530867551263,0.9290396751503391,0.004177586788321424,0.004644640634740372,0.0024768895363841696,77.6,43.29896072655786,0,0.0023977254916415494,0.7015624313094814,0.15685818880356786,0.16493666360808482,0.0,0.20515100184255514,287.0,22.0,71.0,43.0,mag,time,mag_norm,median of mag_norm
mag_norm__energy_mean,20.96081181404114,0.9534918835739585,0.0037501269014783532,0.00439152575869862,0.0015559098974931261,71.6,22.995651762887697,0,0.0014485610513532985,0.7200274670355223,0.14080811323749604,0.1559482560116736,0.0,0.20364647946720904,335.0,20.0,81.0,44.0,mag,time,mag_norm,energy_mean of mag_norm
mag_norm__mean,33.95396351510932,0.9640378732939539,0.003242995804178178,0.004646866704969926,0.002036683951432894,69.4,28.780201528133883,0,0.002346492565431596,0.7279912498387998,0.12176657815057709,0.1650157139858199,0.0,0.20342400690812568,289.5,15.5,93.0,45.0,mag,time,mag_norm,mean of mag_norm
axis_mx__range,980.3802174708114,0.6656364914160267,0.0063250985591735785,0.005454631992112288,0.002625442138643524,64.0,38.09199390948182,0,0.06775217539972266,0.5026540499581698,0.23749201495217115,0.19370041145050013,0.0,0.20031973035211276,34.0,55.0,37.0,46.0,mag,time,mx,range of mx
axis_gz__iqr,746.7202326993507,0.6415238318245393,0.005324615737771399,0.007264577258290945,0.002077387175800113,39.6,15.372052563011877,0,0.051604387031477794,0.4844454238458304,0.19992632661436255,0.25797370124688973,0.0,0.19878996774771207,48.0,67.0,53.0,47.0,gyro,time,gz,iqr of gz
axis_mz__median,88.23590465613012,0.7735622309642163,0.006406263911836993,0.004504379633881036,0.001648711937192956,70.0,26.1725046566048,0,0.006097812238845301,0.5841539538519933,0.2405395758665194,0.15995583014100592,0.0,0.19814943441967278,202.0,39.0,36.0,48.0,mag,time,mz,median of mz
gyro_norm__median,1518.8819617818501,0.6106948408665516,0.005913531039378465,0.005238206329141053,0.002047780280725058,63.4,23.776038357977132,0,0.1049669865346733,0.4611649736887325,0.2220386589845797,0.18601488105603967,0.0,0.19483710005280505,15.0,81.0,44.0,49.0,gyro,time,gyro_norm,median of gyro_norm
axis_gz__spectral_entropy,637.4974126932135,0.5802805268510358,0.006229144323217763,0.007111666152206221,0.001220425751730604,37.6,6.8044103344816005,0,0.044056209776535925,0.4381976659858807,0.2338891675613915,0.25254364763249504,0.0,0.19373733819126063,58.0,97.0,39.0,50.0,gyro,time_frequency,gz,spectral_entropy of gz
axis_mx__std,899.0519062092632,0.6276384173357212,0.006465242296427379,0.005316709539103705,0.002258524863069414,61.4,30.079893616833154,0,0.06213173354322455,0.47395988118379206,0.24275407027541362,0.18880262257406313,0.0,0.19352966151529866,38.0,74.0,34.0,51.0,mag,time,mx,std of mx
axis_gy__iqr,1412.7428278616824,0.6716356344952663,0.005880626785810669,0.0039828252697036645,0.0009035625614357632,78.2,19.524343778985248,0,0.09763191684437944,0.5071842907186236,0.22080318456355597,0.1414348199095092,0.0,0.19341084240721365,21.0,52.0,45.0,52.0,gyro,time,gy,iqr of gy
axis_my__median,87.97405527940484,0.7757464151088684,0.005748766984790509,0.004402123063811788,0.0018243162390757443,75.4,23.41580662714825,0,0.006079716336271943,0.5858033360903804,0.21585217082954045,0.15632457880735545,0.0,0.19281196041270965,203.0,38.0,46.0,53.0,mag,time,my,median of my
axis_gy__haar_l1_energy_ratio,102.91260792318081,0.6591271928372628,0.0052015446404729765,0.00739833042489986,0.0016163355946856417,40.6,16.28803241647069,0,0.007112090736430864,0.49773856630425806,0.19530530725690357,0.26272343384890917,0.0,0.1925758796293003,191.0,59.0,54.0,54.0,gyro,wavelet,gy,haar_l1_energy_ratio of gy
all9_norm__median,340.21407361751886,0.8392903257672883,0.0037800903869221027,0.00450496461015503,0.003081435033986379,82.2,41.7157044768514,0,0.02351153478866944,0.6337883916793352,0.14193316899219338,0.1599766033380108,0.0,0.19184193975964176,99.0,28.0,79.0,55.0,all9,time,all9_norm,median of all9_norm
axis_ax__spectral_entropy,693.476580083115,0.7145723482943684,0.005102344607117666,0.005012091937436088,0.0018660664883404195,64.0,28.97412638890084,0,0.047924821464270184,0.5396078632861384,0.19158058809490627,0.17798529248407616,0.0,0.19141971306587818,54.0,42.0,57.0,56.0,acc,time_frequency,ax,spectral_entropy of ax
axis_gy__energy_mean,744.8755107511624,0.6714431015021964,0.004232930502832634,0.006479509262548979,0.0012260289523398236,46.2,11.454256850621082,0,0.05147690187544333,0.5070388998183872,0.15893621022113805,0.23009501135328414,0.0,0.18950940465365054,49.0,53.0,69.0,57.0,gyro,time,gy,energy_mean of gy
axis_az__energy_mean,605.5387635937692,0.6227767155278299,0.005698251999611051,0.006174991188538981,0.0019139806327704927,50.2,26.4896206088347,0,0.041847609520494745,0.47028857689843523,0.21395545641421343,0.21928121560773312,0.0,0.1890745716881753,61.0,76.0,47.0,58.0,acc,time,az,energy_mean of az
axis_gy__std,1375.9612739318798,0.6867242941772709,0.004110622002988315,0.004963479085970242,0.001522908516804581,66.0,20.09975124224178,0,0.09509001498944882,0.5185784615542184,0.15434382453701678,0.17625899282823632,0.0,0.18885425878178405,24.0,45.0,73.0,59.0,gyro,time,gy,std of gy
axis_gy__rms,1386.2779194480247,0.6722691590447476,0.004517410423280356,0.004665170962607575,0.0015290003187498563,66.8,29.12387336876742,0,0.09580297835212236,0.5076626955005898,0.169617736981314,0.16566571974988167,0.0,0.18774982611678157,22.0,51.0,62.0,60.0,gyro,time,gy,rms of gy
axis_az__abs_mean,852.8014732078913,0.6297274388971124,0.005539360158205178,0.005190318270607741,0.0015775699268815492,62.2,23.530830839560256,0,0.05893545582037733,0.4755374015899365,0.20798945553345058,0.1843143196515523,0.0,0.18535532651906333,40.0,73.0,50.0,61.0,acc,time,az,abs_mean of az
axis_az__rms,887.9493045664846,0.6228762480961851,0.005574768309443175,0.005119405369353643,0.0019526379454487717,63.2,26.80858071588274,0,0.06136445427698703,0.4703637387160815,0.20931894520140948,0.18179611894251632,0.0,0.18456865142739887,39.0,75.0,49.0,62.0,acc,time,az,rms of az
axis_ay__max,532.9714100031969,0.633835714143165,0.004323210980663946,0.006716646978534281,0.0019905611708325804,44.4,16.97939928266015,0,0.036832620456918985,0.47863975733124847,0.16232602184073824,0.23851605116370722,0.0,0.18326289015852257,70.0,69.0,66.0,63.0,acc,time,ay,max of ay
axis_gz__min,412.8800873915985,0.486118712761475,0.0073274230657052655,0.006453661845849998,0.0021518896247276925,49.2,20.129580224137808,0,0.028533342066177754,0.36709156255871156,0.2751268540720936,0.22917713911978332,0.0,0.17998577956335324,80.0,129.0,32.0,64.0,gyro,time,gz,min of gz
gyro_norm__abs_mean,1491.2883124210339,0.6539104252642445,0.002696321678428574,0.005647612712273507,0.00233266753326577,61.2,30.194370336206717,0,0.10306004294473073,0.49379913482463805,0.10124029884727824,0.2005533842910687,0.0,0.17973057218154315,16.5,63.5,104.0,65.0,gyro,time,gyro_norm,abs_mean of gyro_norm
axis_mz__mean,87.88959129623761,0.8155505905869158,0.003481121406800119,0.00406717868081095,0.0013457667568284363,77.8,20.315019074566482,0,0.006073879194211623,0.6158613786816499,0.13070761340074935,0.14443030896584919,0.0,0.179414636048492,204.0,34.0,89.0,66.0,mag,time,mz,mean of mz
all9_norm__mean,340.68234146731646,0.8208375349990478,0.0029828193861260537,0.0038183996515704505,0.002989929069916259,98.8,51.124358186680446,0,0.02354389587157193,0.619853804059364,0.11199758859441898,0.13559587240004162,0.0,0.1781982321850793,97.5,32.5,99.0,67.0,all9,time,all9_norm,mean of all9_norm
gyro_norm__energy_mean,1055.6531034009329,0.6320352495606314,0.004907138192308984,0.00439719640321976,0.0027342763286186227,83.8,42.810045550080886,0,0.07295413855595366,0.4772801401439583,0.18425106360595342,0.15614962728264528,0.0,0.17812699391770212,29.0,70.0,60.0,68.0,gyro,time,gyro_norm,energy_mean of gyro_norm
axis_gy__abs_mean,1475.571682040553,0.7052507459151363,0.0030744231029219355,0.0038912424182378806,0.001777996599845784,86.2,28.81319142337412,0,0.10197389710125582,0.5325686741063909,0.11543708460786994,0.13818260490465006,0.0,0.17763245214403334,18.0,43.0,98.0,69.0,gyro,time,gy,abs_mean of gy
gyro_norm__mean,1491.2883124210339,0.6539104252642445,0.0039208371710454095,0.0038633991065594947,0.0021442481850059915,89.2,39.04740708420983,0,0.10306004294473073,0.49379913482463805,0.14721786725369365,0.13719385608785603,0.0,0.1762541802221837,16.5,63.5,77.0,70.0,gyro,time,gyro_norm,mean of gyro_norm
axis_ay__energy_mean,690.9143790527074,0.5976245992537574,0.005480174148475072,0.004873963214830082,0.0009567184485347978,62.0,13.982131454109563,0,0.04774775272040124,0.45129500717498766,0.20576716530725395,0.17308017873110337,0.0,0.17557802078674925,56.0,87.0,51.0,71.0,acc,time,ay,energy_mean of ay
mag_norm__min,36.867087888899846,0.8210861993347929,0.0028632114622274747,0.003794638602874547,0.001616658082872576,89.8,32.89680835582686,0,0.002547812940952269,0.6200415824294718,0.10750660294650033,0.13475208955354576,0.0,0.17296961757409404,282.0,31.0,101.0,72.0,mag,time,mag_norm,min of mag_norm
axis_ay__rms,720.5851207965862,0.5976068934497976,0.005043661112517818,0.004523123821519796,0.0015004176296906616,70.4,28.936136576951665,0,0.04979824013645419,0.4512816366729449,0.18937716608549907,0.1606214583379555,0.0,0.17021570024657073,51.0,88.0,58.0,73.0,acc,time,ay,rms of ay
axis_my__max,80.5044869037959,0.6530866827846769,0.004495799653138252,0.005086818856219184,0.002929938286299441,71.8,36.134471076798675,0,0.005563508952926261,0.4931770873575642,0.16880630530199686,0.1806389334511744,0.0,0.16963716701273235,214.0,65.0,64.0,74.0,mag,time,my,max of my
mag_norm__max,43.715635576397865,0.8617620118330014,0.0019020821864692368,0.0031946782841223457,0.0011649615271804195,97.6,26.968500143686153,0,0.003021102789000988,0.6507578399532572,0.07141854420814467,0.1134467914574827,0.0,0.1677288556815771,269.0,27.0,137.0,75.0,mag,time,mag_norm,max of mag_norm
gyro_norm__rms,1419.661862756597,0.6315642101780368,0.003555979581055846,0.0034976492451729083,0.0015692373528876059,92.8,31.704889212864316,0,0.09811007792662405,0.47692443570707066,0.13351835515810093,0.12420564739825196,0.0,0.16655170323800955,20.0,72.0,85.0,76.0,gyro,time,gyro_norm,rms of gyro_norm
all9_norm__abs_mean,340.68234146731646,0.8208375349990478,0.0022844442287771553,0.002737932752818803,0.002041600881720954,123.0,48.19232304008596,0,0.02354389587157193,0.619853804059364,0.08577530576994388,0.09722721927193309,0.0,0.16528004499456256,97.5,32.5,122.0,77.0,all9,time,all9_norm,abs_mean of all9_norm
all9_norm__energy_mean,410.43704157362225,0.8074392725344022,0.001698976109321888,0.0033138067668040346,0.002872204207799681,112.0,46.776062254106,0,0.028364507907940557,0.609736133262906,0.0637924066769285,0.11767718429503526,0.0,0.16391404642856205,81.0,36.0,146.0,78.0,all9,time,all9_norm,energy_mean of all9_norm
gyro_norm__haar_l3_energy_ratio,205.68959042358586,0.5902165015667666,0.0060128941331176475,0.0036193558870517783,0.0010719332100443538,83.2,18.102486017119304,0,0.014214808662936746,0.4457007971927042,0.22576950066605433,0.12852759370778963,0.0,0.162842540045897,124.0,94.0,43.0,79.0,gyro,wavelet,gyro_norm,haar_l3_energy_ratio of gyro_norm
corr__ax__ay,350.08280059272084,0.49551970442058213,0.006453358044609448,0.004753346217250461,0.0017686935839035926,71.2,26.67770604830933,0,0.02419354336970832,0.3741907023925578,0.2423078456223059,0.16879692697500293,0.0,0.16189780367191497,94.0,126.0,35.0,80.0,acc,axis_correlation,"ax,ay",Correlation between ax and ay
axis_mx__rms,172.54109894838754,0.6726537766778802,0.00420682544320697,0.0036404568983986313,0.0011444095662253141,87.0,27.703790354390136,0,0.01192398070798496,0.5079531387281961,0.15795602893970115,0.1292769154926172,0.0,0.16142201277369989,141.0,49.0,70.0,81.0,mag,time,mx,rms of mx
axis_mx__energy_mean,165.9776220074389,0.6723409838668251,0.003987036162896862,0.0036493594047801864,0.0014263838814046125,87.6,23.74447304111001,0,0.011470391546340714,0.5077169338696852,0.149703477843872,0.12959305398766902,0.0,0.15969677144951339,145.0,50.0,76.0,82.0,mag,time,mx,energy_mean of mx
axis_ay__abs_mean,757.5916633919664,0.5989259994109997,0.004142861826211371,0.0038552585493335017,0.0011738769631524978,83.8,27.26169473822198,0,0.052355690521701435,0.4522777568710904,0.15555435122008968,0.13690477530543269,0.0,0.1594185147836628,47.0,85.0,72.0,83.0,acc,time,ay,abs_mean of ay
axis_az__haar_l3_energy_ratio,387.4780736272108,0.5775144679229145,0.004508565758299265,0.004630669957453164,0.0019062519567647925,71.4,47.236638322387,0,0.026777858161666793,0.43610888218184773,0.16928564139603813,0.1644405483902869,0.0,0.15932258602596788,88.0,99.0,63.0,84.0,acc,wavelet,az,haar_l3_energy_ratio of az
axis_gy__haar_l3_energy_ratio,226.62723595657877,0.660744400660064,0.0034983794408265257,0.00401969441235238,0.0018884664153447862,92.4,63.86939799309212,0,0.015661768737537385,0.4989597975201515,0.1313556104614592,0.14274408662286597,0.0,0.1577442526684028,118.0,57.0,88.0,85.0,gyro,wavelet,gy,haar_l3_energy_ratio of gy
axis_mx__abs_mean,181.38246382959628,0.6555670988798923,0.0036457033635479766,0.003748906738062222,0.00041477809265997787,78.8,7.8549347546621915,0,0.012534990287258152,0.4950501685541632,0.1368872642262895,0.13312809712961035,0.0,0.15552010403946423,136.0,61.0,84.0,86.0,mag,time,mx,abs_mean of mx
axis_my__energy_mean,123.4895636443081,0.556016850611416,0.005110289905161655,0.004326170391894613,0.0021253565759096478,81.6,38.61735361207445,0,0.008534124237684829,0.41987499995719996,0.1918789146465338,0.1536274099016628,0.0,0.15478308974861626,169.0,110.0,55.0,87.0,mag,time,my,energy_mean of my
all9_norm__rms,395.00313157746507,0.807573968110872,0.0012024794026737479,0.00250467459164401,0.0023806579599545802,136.8,58.22971749888539,0,0.027297900321895188,0.6098378483549978,0.04515016700653351,0.08894394702568796,0.0,0.15424597254182287,84.0,35.0,181.0,88.0,all9,time,all9_norm,rms of all9_norm
axis_az__haar_l2_energy_ratio,348.5641831566289,0.5601561352833082,0.0037574365473358727,0.004621912911661306,0.0019750783647053973,71.6,27.45541840875859,0,0.024088594664031036,0.4230007724037048,0.14108257260078474,0.16412957537223058,0.0,0.15046030300815022,95.0,105.0,80.0,89.0,acc,wavelet,az,haar_l2_energy_ratio of az
all9_norm__min,34.96019083106327,0.7425278612102959,0.0023269296380066854,0.0028574339062527477,0.0011812918349803745,109.4,36.031930284124385,0,0.002416030983677509,0.5607184123126134,0.08737052920394947,0.10147084608716772,0.0,0.15039516371748163,285.0,40.0,120.0,90.0,all9,time,all9_norm,min of all9_norm
axis_my__rms,115.15462744516128,0.5564239284817152,0.004109917264954285,0.004530348009481214,0.0022597384775253854,76.2,34.054368295418435,0,0.007958112962419673,0.42018240398746715,0.1543173633437011,0.16087799776766326,0.0,0.14866717561225024,178.0,109.0,74.0,91.0,mag,time,my,rms of my
axis_mx__iqr,757.681931705922,0.5784180764900695,0.0031720480116341973,0.003520094782478994,0.001627729836147197,93.6,34.93994848307593,0,0.05236192878980514,0.43679124036339984,0.11910266168349834,0.12500271488469347,0.0,0.14665170914427936,46.0,98.0,94.0,92.0,mag,time,mx,iqr of mx
axis_my__abs_mean,114.99494282341743,0.5592258426947443,0.0047495094781008,0.003197587532647682,0.0011723368758864438,96.8,34.859718874368454,0,0.00794707746791639,0.42229826383736563,0.17833249006889335,0.11355010230176775,0.0,0.14442558673518863,179.0,106.0,61.0,93.0,mag,time,my,abs_mean of my
axis_mz__max,88.29011473422023,0.6823181661736961,0.002580454248204773,0.002893211942440115,0.001183810586557363,107.2,26.527344382730814,0,0.006101558592202644,0.5152511829055982,0.09688975960844368,0.10274136632398762,0.0,0.14419677348604645,201.0,48.0,108.0,94.0,mag,time,mz,max of mz
axis_mx__haar_l3_energy_ratio,46.109707290251684,0.6171828089997207,0.0033162551682615637,0.0031227276348535365,0.0015921457281607469,102.4,35.02570484658375,0,0.0031865524418866736,0.46606434969980326,0.12451728848773763,0.11089173909324392,0.0,0.1409319859445343,265.0,80.0,92.0,95.0,mag,wavelet,mx,haar_l3_energy_ratio of mx
axis_az__haar_l4_energy_ratio,222.31896014889202,0.47175640694750864,0.004437847246131631,0.004514813416634742,0.0008197172667332481,67.2,12.19426094521517,0,0.015364032152291094,0.3562458963772043,0.16663033384754902,0.16032634606495832,0.0,0.13971332168840053,120.0,141.0,65.0,96.0,acc,wavelet,az,haar_l4_energy_ratio of az
axis_mx__haar_l4_energy_ratio,104.39240956741263,0.6180131558576076,0.003386263662405025,0.0026927149913706636,0.0012201507304074914,115.2,42.26937425607339,0,0.007214356958015223,0.46669138444980474,0.12714593659216658,0.09562148326443694,0.0,0.1393346322528847,189.0,78.0,90.0,97.0,mag,wavelet,mx,haar_l4_energy_ratio of mx
gyro_norm__haar_l2_energy_ratio,196.57889551805908,0.6085142234691663,0.003136026160292203,0.00278624471003668,0.0011607667732230432,106.8,35.80083797901943,0,0.01358518620804364,0.45951828487232876,0.11775012907432497,0.09894283381836151,0.0,0.13795928679461178,128.0,82.0,95.0,98.0,gyro,wavelet,gyro_norm,haar_l2_energy_ratio of gyro_norm
axis_az__haar_l1_energy_ratio,360.2496012852237,0.535771418677256,0.00353440904099187,0.0035423498449415588,0.0007396631404157836,82.4,18.555322686496186,0,0.024896151247241288,0.4045867029871685,0.13270843402003893,0.1257930183849276,0.0,0.13759686132787527,92.0,116.0,87.0,99.0,acc,wavelet,az,haar_l1_energy_ratio of az
acc_norm__spectral_entropy,263.03878766735016,0.3933217526651842,0.006027992633071513,0.003922930517598454,0.0009722440526830688,77.2,19.253571097331527,0,0.018178100456723367,0.297016125863559,0.22633641249252667,0.1393078866639151,0.0,0.13616770509534484,112.0,169.0,42.0,100.0,acc,time_frequency,acc_norm,spectral_entropy of acc_norm
axis_mx__diff_abs_mean,778.2533433890421,0.5456446959296137,0.0036660271918051764,0.0021423640360038573,0.0007674247973722624,129.4,37.04456775291082,0,0.053783579153344994,0.41204248833135826,0.1376503743785169,0.07607787213707205,0.0,0.13591086280005843,44.0,113.0,83.0,101.0,mag,time,mx,diff_abs_mean of mx
axis_mz__abs_mean,32.13915716720683,0.6027562274790093,0.002476056028074461,0.003405118633621426,0.001954950127939077,101.0,46.233105022267324,0,0.0022210748185121153,0.45517014584837256,0.09296986121884332,0.12091977631561862,0.0,0.13425617164026935,298.0,84.0,111.0,102.0,mag,time,mz,abs_mean of mz
axis_mz__energy_mean,20.918838437101773,0.5908075026409274,0.002529515353532342,0.003328441742391229,0.0021510815846147438,113.4,79.74208424665109,0,0.0014456603526796237,0.44614709045830414,0.09497712842617595,0.11819688952847848,0.0,0.13215335375312764,336.0,92.0,109.0,103.0,mag,time,mz,energy_mean of mz
all9_norm__iqr,1004.732411142728,0.5932625986306923,0.0024116199522933946,0.0013968109295732245,0.00044083145939243504,166.0,31.10466202999158,0,0.06943510827374999,0.4480010512284929,0.09055044382483898,0.04960240253937179,0.0,0.13151780117329073,32.0,91.0,114.0,104.0,all9,time,all9_norm,iqr of all9_norm
axis_mz__rms,33.71611472104865,0.5908070217704302,0.0027043375084204483,0.0028254495820924114,0.0014429529452316284,114.6,44.42746898035043,0,0.002330055296577493,0.44614672732992094,0.10154127370142074,0.100335045036101,0.0,0.13007062027280403,292.0,93.0,103.0,105.0,mag,time,mz,rms of mz
axis_gy__range,915.1196194433703,0.5978129718566136,0.002013955650141065,0.0012510618136873648,0.0009690579734301637,188.2,60.12237520258161,0,0.06324214204179474,0.45143725636497034,0.07561911974993867,0.04442667963882373,0.0,0.12694503955910547,37.0,86.0,134.0,106.0,gyro,time,gy,range of gy
corr__my__mz,160.82295715108796,0.4215273208966126,0.00425369876227184,0.004082383796070169,0.003420072106494998,97.0,56.634794958576485,0,0.011114162655497481,0.31831550365569067,0.15971600767964766,0.14497026053107342,0.0,0.12682318690438182,147.0,160.0,68.0,107.0,mag,axis_correlation,"my,mz",Correlation between my and mz
gyro_norm__haar_l1_energy_ratio,144.90476159973957,0.5872276563120566,0.002133701108870004,0.002734144684384317,0.0015341548637945238,116.6,43.0093013195983,0,0.010014087033995919,0.4434437767448285,0.08011526949509355,0.09709270049680331,0.0,0.12613316675414427,156.0,95.0,128.0,108.0,gyro,wavelet,gyro_norm,haar_l1_energy_ratio of gyro_norm
axis_gy__slope,153.86313530512834,0.6177895448856061,0.0014777060957901545,0.0027121533079831547,0.003079167818385766,145.8,79.81666492656781,0,0.010633182866171697,0.46652252507664665,0.055484257662249487,0.0963117607994181,0.0,0.1257903452808972,151.0,79.0,161.0,109.0,gyro,time,gy,slope of gy
axis_ax__kurtosis,117.51301762039114,0.5310211181185025,0.0038644783119134193,0.001786797903255846,0.0011801141383593055,156.2,71.19480318113114,0,0.008121096733374755,0.4009995231297414,0.14510172963300005,0.06345129965505168,0.0,0.12353472983023359,175.0,119.0,78.0,110.0,acc,time,ax,kurtosis of ax
gyro_pca__pca3_var_ratio,362.7376381354102,0.5146380282397818,0.0033608803619979027,0.0021828309363537903,0.0018158910072535183,165.6,109.72830081615226,0,0.025068094648455243,0.3886278659496354,0.12619285560798482,0.07751489946709968,0.0,0.12348074313463502,90.0,121.0,91.0,111.0,gyro,pca,gyro_pca,PCA variance ratio
all9_norm__std,1046.5319584127938,0.5935142759681717,0.0005817265808744319,0.0020248653283897514,0.0015241189418728576,156.4,85.55875174405011,0,0.07232379391611896,0.44819110486076535,0.02184241345025887,0.07190535453319594,0.0,0.1228525333520678,30.0,89.0,237.0,112.0,all9,time,all9_norm,std of all9_norm
axis_ax__low_band_ratio,138.27842596467138,0.5604554525426568,0.0023475667511969355,0.0025283338323836245,0.0019072142953449275,131.2,67.80265481527991,0,0.009556153829914371,0.42322680122660467,0.08814540244086373,0.08978411455165429,0.0,0.1221424944098074,160.0,104.0,118.0,113.0,acc,time_frequency,ax,low_band_ratio of ax
axis_gy__spectral_entropy,528.0618271142724,0.5615501406312227,0.0018410721477289337,0.0020509857059634764,0.00042347498613109,132.4,17.487138130637614,0,0.03649332870551256,0.42405345272221007,0.06912776614402581,0.0728329199290997,0.0,0.12050149350016963,72.0,103.0,140.0,114.0,gyro,time_frequency,gy,spectral_entropy of gy
axis_gz__slope,121.13847144432751,0.6319223662264899,0.0013768608455598168,0.0016598987324549126,0.0009559916353493407,154.0,44.45784520194383,0,0.008371644815644933,0.47719489652253616,0.051697764621627514,0.05894496052302357,0.0,0.11924185329656645,171.0,71.0,169.0,115.0,gyro,time,gz,slope of gz
axis_mx__haar_l2_energy_ratio,26.936826546253606,0.5933892234583431,0.0022176616689790255,0.0016969615140481433,0.0007263104206745181,151.0,40.8166632639171,0,0.0018615518391241056,0.4480966717109405,0.08326778362752309,0.060261103583543536,0.0,0.11869742215222626,314.0,90.0,123.0,116.0,mag,wavelet,mx,haar_l2_energy_ratio of mx
corr__ax__my,196.17039809618694,0.5684852529057203,0.0016866090169078037,0.0020938950719240294,0.0010869269858355484,137.8,54.4352826758528,0,0.013556955743491412,0.42929048872706466,0.0633280525377727,0.07435668209191072,0.0,0.1161064358200479,129.0,101.0,147.0,117.0,acc_mag,axis_correlation,"ax,my",Correlation between ax and my
corr__ax__mx,146.02493985882992,0.4851565209959281,0.001984027419712143,0.003577794559952879,0.0014572922570893364,89.4,24.78507615481542,0,0.010091500380916196,0.3663649653934034,0.07449538773501078,0.1270517019938982,0.0,0.11560071110064571,155.0,131.0,135.0,118.0,acc_mag,axis_correlation,"ax,mx",Correlation between ax and mx
axis_gy__haar_l4_energy_ratio,265.6257937738846,0.5515082465294556,0.00147630836896638,0.002279456618951766,0.0010947457247214116,128.8,51.95863739552838,0,0.01835688343129445,0.4164703367052886,0.0554317764310678,0.08094619134948118,0.0,0.11424103758342641,110.0,111.0,162.0,119.0,gyro,wavelet,gy,haar_l4_energy_ratio of gy
gyro_norm__iqr,819.6776994278458,0.5574293232695262,0.0010053637174837783,0.0015378675645819691,0.0007278415408810066,160.8,39.32810699741344,0,0.056646336057398036,0.4209416258276415,0.03774895407419934,0.05461148991291543,0.0,0.11398968117443087,42.0,108.0,194.0,120.0,gyro,time,gyro_norm,iqr of gyro_norm
all9_norm__low_band_ratio,154.03903176040652,0.49136194078686124,0.002866288447876099,0.0022023848745707504,0.0013056237701408488,131.4,48.8600040933277,0,0.01064533872904798,0.3710509755954096,0.1076221362484456,0.07820928286153947,0.0,0.11350554668688854,150.0,128.0,100.0,121.0,all9,time_frequency,all9_norm,low_band_ratio of all9_norm
axis_ax__mid_band_ratio,127.26494259031551,0.5866403681565555,0.00210765929400862,0.0009964747620955824,0.0002947129618216433,190.8,28.057084666800293,0,0.008795033354364276,0.4430002872822434,0.07913746290021108,0.03538599335336794,0.0,0.11326375537803732,165.0,96.0,130.0,122.0,acc,time_frequency,ax,mid_band_ratio of ax
axis_ax__high_band_ratio,151.83182050574186,0.5423204458273436,0.0016107683455042928,0.002227012665824358,0.0011110427850653435,133.8,52.86965102967864,0,0.01049280264008438,0.4095321875913473,0.060480420410234964,0.07908384475789455,0.0,0.11191785107991223,153.0,114.0,154.0,123.0,acc,time_frequency,ax,high_band_ratio of ax
gyro_norm__std,928.740624765624,0.558199627138932,0.0008359696495197412,0.0010896756309280804,0.0009326740353715582,200.2,71.96665894704297,0,0.06418346330192243,0.42152331923635405,0.031388620216100456,0.038695666062086825,0.0,0.11115821376329275,36.0,107.0,206.0,124.0,gyro,time,gyro_norm,std of gyro_norm
axis_gz__haar_l2_energy_ratio,168.99771685431756,0.5628930708126152,0.0014856498952091862,0.0017048098267042236,0.0009940060735057334,150.0,40.761501444377636,0,0.011679104443789213,0.4250675637320377,0.05578252794416715,0.06053980641681868,0.0,0.11061380050736255,142.0,102.0,158.0,125.0,gyro,wavelet,gz,haar_l2_energy_ratio of gz
axis_mx__diff_rms,714.9850604531847,0.5314705863746032,0.0009726294290887398,0.0014925331639814386,0.0013463350650153218,186.0,85.66796367370944,0,0.04941123082733737,0.401338938174094,0.03651986143062496,0.05300161191163453,0.0,0.10805432846873816,52.0,118.0,199.0,126.0,mag,time,mx,diff_rms of mx
axis_gz__max,398.4277951049264,0.4263478117981885,0.0028227203510061117,0.002201353036679084,0.0010139723769184475,128.2,38.57719533610498,0,0.027534572176205124,0.32195568760851007,0.1059862605357616,0.07817264108177228,0.0,0.10672983228044981,83.0,159.0,102.0,127.0,gyro,time,gz,max of gz
