feature,sensor_group,family,source,description
all9_norm__haar_l3_energy_ratio,all9,wavelet,all9_norm,haar_l3_energy_ratio of all9_norm
all9_norm__haar_l4_energy_ratio,all9,wavelet,all9_norm,haar_l4_energy_ratio of all9_norm
all9_norm__high_band_ratio,all9,time_frequency,all9_norm,high_band_ratio of all9_norm
all9_norm__iqr,all9,time,all9_norm,iqr of all9_norm
all9_norm__kurtosis,all9,time,all9_norm,kurtosis of all9_norm
all9_norm__low_band_ratio,all9,time_frequency,all9_norm,low_band_ratio of all9_norm
all9_norm__max,all9,time,all9_norm,max of all9_norm
all9_norm__mean,all9,time,all9_norm,mean of all9_norm
all9_norm__median,all9,time,all9_norm,median of all9_norm
all9_norm__mid_band_ratio,all9,time_frequency,all9_norm,mid_band_ratio of all9_norm
all9_norm__min,all9,time,all9_norm,min of all9_norm
all9_norm__range,all9,time,all9_norm,range of all9_norm
all9_norm__rms,all9,time,all9_norm,rms of all9_norm
all9_norm__skewness,all9,time,all9_norm,skewness of all9_norm
all9_norm__slope,all9,time,all9_norm,slope of all9_norm
all9_norm__spectral_entropy,all9,time_frequency,all9_norm,spectral_entropy of all9_norm
all9_norm__std,all9,time,all9_norm,std of all9_norm
all9_norm__zero_crossing_rate,all9,time,all9_norm,zero_crossing_rate of all9_norm
all9_pca__dominant_axis_var_share,all9,pca,all9_pca,Dominant axis variance share
all9_pca__pca1_var_ratio,all9,pca,all9_pca,PCA variance ratio
all9_pca__pca2_var_ratio,all9,pca,all9_pca,PCA variance ratio
all9_pca__pca3_var_ratio,all9,pca,all9_pca,PCA variance ratio
axis_ax__abs_mean,acc,time,ax,abs_mean of ax
axis_ax__diff_abs_mean,acc,time,ax,diff_abs_mean of ax
axis_ax__diff_rms,acc,time,ax,diff_rms of ax
axis_ax__dominant_freq_ratio,acc,time_frequency,ax,dominant_freq_ratio of ax
axis_ax__energy_mean,acc,time,ax,energy_mean of ax
axis_ax__haar_l1_energy_ratio,acc,wavelet,ax,haar_l1_energy_ratio of ax
axis_ax__haar_l2_energy_ratio,acc,wavelet,ax,haar_l2_energy_ratio of ax
axis_ax__haar_l3_energy_ratio,acc,wavelet,ax,haar_l3_energy_ratio of ax
axis_ax__haar_l4_energy_ratio,acc,wavelet,ax,haar_l4_energy_ratio of ax
axis_ax__high_band_ratio,acc,time_frequency,ax,high_band_ratio of ax
axis_ax__iqr,acc,time,ax,iqr of ax
axis_ax__kurtosis,acc,time,ax,kurtosis of ax
axis_ax__low_band_ratio,acc,time_frequency,ax,low_band_ratio of ax
axis_ax__max,acc,time,ax,max of ax
axis_ax__mean,acc,time,ax,mean of ax
axis_ax__median,acc,time,ax,median of ax
axis_ax__mid_band_ratio,acc,time_frequency,ax,mid_band_ratio of ax
axis_ax__min,acc,time,ax,min of ax
axis_ax__range,acc,time,ax,range of ax
axis_ax__rms,acc,time,ax,rms of ax
axis_ax__skewness,acc,time,ax,skewness of ax
axis_ax__slope,acc,time,ax,slope of ax
axis_ax__spectral_entropy,acc,time_frequency,ax,spectral_entropy of ax
axis_ax__std,acc,time,ax,std of ax
axis_ax__zero_crossing_rate,acc,time,ax,zero_crossing_rate of ax
axis_ay__abs_mean,acc,time,ay,abs_mean of ay
axis_ay__diff_abs_mean,acc,time,ay,diff_abs_mean of ay
axis_ay__diff_rms,acc,time,ay,diff_rms of ay
axis_ay__dominant_freq_ratio,acc,time_frequency,ay,dominant_freq_ratio of ay
axis_ay__energy_mean,acc,time,ay,energy_mean of ay
axis_ay__haar_l1_energy_ratio,acc,wavelet,ay,haar_l1_energy_ratio of ay
axis_ay__haar_l2_energy_ratio,acc,wavelet,ay,haar_l2_energy_ratio of ay
axis_ay__haar_l3_energy_ratio,acc,wavelet,ay,haar_l3_energy_ratio of ay
axis_ay__haar_l4_energy_ratio,acc,wavelet,ay,haar_l4_energy_ratio of ay
axis_ay__high_band_ratio,acc,time_frequency,ay,high_band_ratio of ay
axis_ay__iqr,acc,time,ay,iqr of ay
axis_ay__kurtosis,acc,time,ay,kurtosis of ay
axis_ay__low_band_ratio,acc,time_frequency,ay,low_band_ratio of ay
axis_ay__max,acc,time,ay,max of ay
axis_ay__mean,acc,time,ay,mean of ay
axis_ay__median,acc,time,ay,median of ay
axis_ay__mid_band_ratio,acc,time_frequency,ay,mid_band_ratio of ay
axis_ay__min,acc,time,ay,min of ay
axis_ay__range,acc,time,ay,range of ay
axis_ay__rms,acc,time,ay,rms of ay
axis_ay__skewness,acc,time,ay,skewness of ay
axis_ay__slope,acc,time,ay,slope of ay
axis_ay__spectral_entropy,acc,time_frequency,ay,spectral_entropy of ay
axis_ay__std,acc,time,ay,std of ay
axis_ay__zero_crossing_rate,acc,time,ay,zero_crossing_rate of ay
axis_az__abs_mean,acc,time,az,abs_mean of az
axis_az__diff_abs_mean,acc,time,az,diff_abs_mean of az
axis_az__diff_rms,acc,time,az,diff_rms of az
axis_az__dominant_freq_ratio,acc,time_frequency,az,dominant_freq_ratio of az
axis_az__energy_mean,acc,time,az,energy_mean of az
axis_az__haar_l1_energy_ratio,acc,wavelet,az,haar_l1_energy_ratio of az
axis_az__haar_l2_energy_ratio,acc,wavelet,az,haar_l2_energy_ratio of az
axis_az__haar_l3_energy_ratio,acc,wavelet,az,haar_l3_energy_ratio of az
axis_az__haar_l4_energy_ratio,acc,wavelet,az,haar_l4_energy_ratio of az
axis_az__high_band_ratio,acc,time_frequency,az,high_band_ratio of az
axis_az__iqr,acc,time,az,iqr of az
axis_az__kurtosis,acc,time,az,kurtosis of az
axis_az__low_band_ratio,acc,time_frequency,az,low_band_ratio of az
axis_az__max,acc,time,az,max of az
axis_az__mean,acc,time,az,mean of az
axis_az__median,acc,time,az,median of az
axis_az__mid_band_ratio,acc,time_frequency,az,mid_band_ratio of az
axis_az__min,acc,time,az,min of az
axis_az__range,acc,time,az,range of az
axis_az__rms,acc,time,az,rms of az
axis_az__skewness,acc,time,az,skewness of az
axis_az__slope,acc,time,az,slope of az
axis_az__spectral_entropy,acc,time_frequency,az,spectral_entropy of az
axis_az__std,acc,time,az,std of az
axis_az__zero_crossing_rate,acc,time,az,zero_crossing_rate of az
axis_gx__abs_mean,gyro,time,gx,abs_mean of gx
axis_gx__diff_abs_mean,gyro,time,gx,diff_abs_mean of gx
axis_gx__diff_rms,gyro,time,gx,diff_rms of gx
axis_gx__dominant_freq_ratio,gyro,time_frequency,gx,dominant_freq_ratio of gx
axis_gx__energy_mean,gyro,time,gx,energy_mean of gx
axis_gx__haar_l1_energy_ratio,gyro,wavelet,gx,haar_l1_energy_ratio of gx
axis_gx__haar_l2_energy_ratio,gyro,wavelet,gx,haar_l2_energy_ratio of gx
axis_gx__haar_l3_energy_ratio,gyro,wavelet,gx,haar_l3_energy_ratio of gx
axis_gx__haar_l4_energy_ratio,gyro,wavelet,gx,haar_l4_energy_ratio of gx
axis_gx__high_band_ratio,gyro,time_frequency,gx,high_band_ratio of gx
axis_gx__iqr,gyro,time,gx,iqr of gx
axis_gx__kurtosis,gyro,time,gx,kurtosis of gx
