feature,sensor_group,family,source,description
gyro_norm__skewness,gyro,time,gyro_norm,skewness of gyro_norm
gyro_norm__slope,gyro,time,gyro_norm,slope of gyro_norm
gyro_norm__spectral_entropy,gyro,time_frequency,gyro_norm,spectral_entropy of gyro_norm
gyro_norm__std,gyro,time,gyro_norm,std of gyro_norm
gyro_norm__zero_crossing_rate,gyro,time,gyro_norm,zero_crossing_rate of gyro_norm
gyro_pca__dominant_axis_var_share,gyro,pca,gyro_pca,Dominant axis variance share
gyro_pca__pca1_var_ratio,gyro,pca,gyro_pca,PCA variance ratio
gyro_pca__pca2_var_ratio,gyro,pca,gyro_pca,PCA variance ratio
gyro_pca__pca3_var_ratio,gyro,pca,gyro_pca,PCA variance ratio
mag_norm__abs_mean,mag,time,mag_norm,abs_mean of mag_norm
mag_norm__diff_abs_mean,mag,time,mag_norm,diff_abs_mean of mag_norm
mag_norm__diff_rms,mag,time,mag_norm,diff_rms of mag_norm
mag_norm__dominant_freq_ratio,mag,time_frequency,mag_norm,dominant_freq_ratio of mag_norm
mag_norm__energy_mean,mag,time,mag_norm,energy_mean of mag_norm
mag_norm__haar_l1_energy_ratio,mag,wavelet,mag_norm,haar_l1_energy_ratio of mag_norm
mag_norm__haar_l2_energy_ratio,mag,wavelet,mag_norm,haar_l2_energy_ratio of mag_norm
mag_norm__haar_l3_energy_ratio,mag,wavelet,mag_norm,haar_l3_energy_ratio of mag_norm
mag_norm__haar_l4_energy_ratio,mag,wavelet,mag_norm,haar_l4_energy_ratio of mag_norm
mag_norm__high_band_ratio,mag,time_frequency,mag_norm,high_band_ratio of mag_norm
mag_norm__iqr,mag,time,mag_norm,iqr of mag_norm
mag_norm__kurtosis,mag,time,mag_norm,kurtosis of mag_norm
mag_norm__low_band_ratio,mag,time_frequency,mag_norm,low_band_ratio of mag_norm
mag_norm__max,mag,time,mag_norm,max of mag_norm
mag_norm__mean,mag,time,mag_norm,mean of mag_norm
mag_norm__median,mag,time,mag_norm,median of mag_norm
mag_norm__mid_band_ratio,mag,time_frequency,mag_norm,mid_band_ratio of mag_norm
mag_norm__min,mag,time,mag_norm,min of mag_norm
mag_norm__range,mag,time,mag_norm,range of mag_norm
mag_norm__rms,mag,time,mag_norm,rms of mag_norm
mag_norm__skewness,mag,time,mag_norm,skewness of mag_norm
mag_norm__slope,mag,time,mag_norm,slope of mag_norm
mag_norm__spectral_entropy,mag,time_frequency,mag_norm,spectral_entropy of mag_norm
mag_norm__std,mag,time,mag_norm,std of mag_norm
mag_norm__zero_crossing_rate,mag,time,mag_norm,zero_crossing_rate of mag_norm
mag_pca__dominant_axis_var_share,mag,pca,mag_pca,Dominant axis variance share
mag_pca__pca1_var_ratio,mag,pca,mag_pca,PCA variance ratio
mag_pca__pca2_var_ratio,mag,pca,mag_pca,PCA variance ratio
mag_pca__pca3_var_ratio,mag,pca,mag_pca,PCA variance ratio
rep_duration_samples,temporal,temporal,rep_duration,Ground-truth rep duration in samples
