exercise,feature,cohen_d,abs_cohen_d,stable_subject_ratio,stable_effect_score,mean_subject_diff,sensor_group,family,source,description
db_bench_press,axis_mz__zero_crossing_rate,0.0868,0.0868,0.625,0.0543,0.0073,mag,time,mz,zero_crossing_rate of mz
db_bench_press,axis_my__skewness,-0.0837,0.0837,0.625,0.0523,-0.0339,mag,time,my,skewness of my
db_bench_press,axis_ay__high_band_ratio,-0.083,0.083,0.625,0.0519,-0.0044,acc,time_frequency,ay,high_band_ratio of ay
db_bench_press,axis_gy__high_band_ratio,0.1009,0.1009,0.5,0.0504,0.0001,gyro,time_frequency,gy,high_band_ratio of gy
db_bench_press,axis_gy__haar_l2_energy_ratio,0.1001,0.1001,0.5,0.0501,0.0038,gyro,wavelet,gy,haar_l2_energy_ratio of gy
db_bench_press,all9_norm__mid_band_ratio,0.1299,0.1299,0.375,0.0487,0.0026,all9,time_frequency,all9_norm,mid_band_ratio of all9_norm
db_bench_press,gyro_norm__kurtosis,0.0955,0.0955,0.5,0.0477,0.2903,gyro,time,gyro_norm,kurtosis of gyro_norm
db_bench_press,all9_norm__rms,-0.0955,0.0955,0.5,0.0477,-1.7335,all9,time,all9_norm,rms of all9_norm
db_bench_press,axis_ay__skewness,-0.0951,0.0951,0.5,0.0475,-0.0405,acc,time,ay,skewness of ay
db_bench_press,gyro_norm__diff_rms,-0.0947,0.0947,0.5,0.0474,-0.1407,gyro,time,gyro_norm,diff_rms of gyro_norm
db_bench_press,axis_gz__slope,-0.0941,0.0941,0.5,0.047,-2.6675,gyro,time,gz,slope of gz
db_bench_press,corr__ay__gy,-0.075,0.075,0.625,0.0469,-0.0055,acc_gyro,axis_correlation,"ay,gy",Correlation between ay and gy
db_bench_press,axis_ay__diff_rms,-0.074,0.074,0.625,0.0462,-0.0032,acc,time,ay,diff_rms of ay
db_bench_press,axis_gz__spectral_entropy,0.0905,0.0905,0.5,0.0453,0.0115,gyro,time_frequency,gz,spectral_entropy of gz
db_bench_press,axis_az__mean,-0.089,0.089,0.5,0.0445,-0.0188,acc,time,az,mean of az
db_bench_press,acc_norm__haar_l3_energy_ratio,-0.0875,0.0875,0.5,0.0438,-0.0001,acc,wavelet,acc_norm,haar_l3_energy_ratio of acc_norm
db_bench_press,axis_gy__haar_l1_energy_ratio,0.0856,0.0856,0.5,0.0428,0.0012,gyro,wavelet,gy,haar_l1_energy_ratio of gy
db_bench_press,axis_ay__haar_l2_energy_ratio,0.1136,0.1136,0.375,0.0426,0.004,acc,wavelet,ay,haar_l2_energy_ratio of ay
db_bench_press,axis_gx__kurtosis,0.0682,0.0682,0.625,0.0426,0.1395,gyro,time,gx,kurtosis of gx
db_bench_press,corr__mx__mz,0.0852,0.0852,0.5,0.0426,0.013,mag,axis_correlation,"mx,mz",Correlation between mx and mz
db_bench_press,axis_gy__skewness,0.0833,0.0833,0.5,0.0417,0.0315,gyro,time,gy,skewness of gy
db_bench_press,acc_norm__range,-0.0832,0.0832,0.5,0.0416,-0.0197,acc,time,acc_norm,range of acc_norm
db_bench_press,axis_mz__kurtosis,0.0641,0.0641,0.625,0.0401,0.0652,mag,time,mz,kurtosis of mz
db_bench_press,gyro_pca__dominant_axis_var_share,-0.0525,0.0525,0.75,0.0394,-0.0014,gyro,pca,gyro_pca,Dominant axis variance share
db_bench_press,corr__az__mx,-0.0778,0.0778,0.5,0.0389,-0.0509,acc_mag,axis_correlation,"az,mx",Correlation between az and mx
db_bench_press,mag_norm__slope,-0.0613,0.0613,0.625,0.0383,-0.1171,mag,time,mag_norm,slope of mag_norm
db_bench_press,mag_pca__pca2_var_ratio,0.0503,0.0503,0.75,0.0378,0.0081,mag,pca,mag_pca,PCA variance ratio
db_bench_press,axis_my__max,-0.0755,0.0755,0.5,0.0377,1.1243,mag,time,my,max of my
db_bench_press,axis_mz__dominant_freq_ratio,-0.059,0.059,0.625,0.0369,-0.0008,mag,time_frequency,mz,dominant_freq_ratio of mz
db_bench_press,axis_my__std,-0.0732,0.0732,0.5,0.0366,-0.1806,mag,time,my,std of my
db_bench_press,axis_ax__diff_rms,-0.0965,0.0965,0.375,0.0362,-0.0019,acc,time,ax,diff_rms of ax
db_bench_press,corr__ay__gz,0.0948,0.0948,0.375,0.0356,0.0108,acc_gyro,axis_correlation,"ay,gz",Correlation between ay and gz
db_bench_press,axis_az__median,-0.069,0.069,0.5,0.0345,-0.0142,acc,time,az,median of az
db_bench_press,axis_ay__range,-0.0547,0.0547,0.625,0.0342,-0.0133,acc,time,ay,range of ay
db_bench_press,axis_my__iqr,-0.0638,0.0638,0.5,0.0319,-0.3057,mag,time,my,iqr of my
db_bench_press,axis_mx__skewness,-0.0477,0.0477,0.625,0.0298,-0.0028,mag,time,mx,skewness of mx
db_bench_press,gyro_norm__haar_l1_energy_ratio,-0.0473,0.0473,0.625,0.0295,-0.0004,gyro,wavelet,gyro_norm,haar_l1_energy_ratio of gyro_norm
db_bench_press,all9_norm__median,-0.0564,0.0564,0.5,0.0282,-0.9415,all9,time,all9_norm,median of all9_norm
db_bench_press,all9_norm__kurtosis,0.0703,0.0703,0.375,0.0264,0.4898,all9,time,all9_norm,kurtosis of all9_norm
db_bench_press,all9_norm__mean,-0.0517,0.0517,0.5,0.0259,-0.7943,all9,time,all9_norm,mean of all9_norm
db_bench_press,all9_norm__abs_mean,-0.0517,0.0517,0.5,0.0259,-0.7943,all9,time,all9_norm,abs_mean of all9_norm
db_bench_press,axis_gz__range,0.0513,0.0513,0.5,0.0257,4.1492,gyro,time,gz,range of gz
db_bench_press,gyro_pca__pca3_var_ratio,0.0509,0.0509,0.5,0.0254,0.0048,gyro,pca,gyro_pca,PCA variance ratio
db_bench_press,axis_ay__haar_l4_energy_ratio,-0.0395,0.0395,0.625,0.0247,-0.001,acc,wavelet,ay,haar_l4_energy_ratio of ay
db_bench_press,axis_my__range,-0.0463,0.0463,0.5,0.0231,-0.1993,mag,time,my,range of my
db_bench_press,acc_norm__zero_crossing_rate,0.0357,0.0357,0.625,0.0223,0.0014,acc,time,acc_norm,zero_crossing_rate of acc_norm
db_bench_press,gyro_pca__pca2_var_ratio,-0.0566,0.0566,0.375,0.0212,-0.0053,gyro,pca,gyro_pca,PCA variance ratio
db_bench_press,axis_ax__diff_abs_mean,-0.055,0.055,0.375,0.0206,-0.0007,acc,time,ax,diff_abs_mean of ax
db_bench_press,axis_my__min,-0.0532,0.0532,0.375,0.02,1.3236,mag,time,my,min of my
db_bench_press,corr__ax__gx,-0.0512,0.0512,0.375,0.0192,-0.0012,acc_gyro,axis_correlation,"ax,gx",Correlation between ax and gx
db_bench_press,gyro_norm__zero_crossing_rate,0.0372,0.0372,0.5,0.0186,0.001,gyro,time,gyro_norm,zero_crossing_rate of gyro_norm
