fold,feature,fold_rf_importance,fold_rank,is_top_20
1,acc_norm__low_band_ratio,0.0005682875582913384,233.0,False
1,acc_norm__mid_band_ratio,0.0010933464182080327,182.0,False
1,acc_norm__high_band_ratio,0.0011303539159240384,175.0,False
1,acc_norm__haar_l1_energy_ratio,0.0007848743703385979,205.0,False
1,acc_norm__haar_l2_energy_ratio,0.000861295903572567,197.0,False
1,acc_norm__haar_l3_energy_ratio,0.0002534145836594008,284.0,False
1,acc_norm__haar_l4_energy_ratio,7.156576980114088e-05,363.0,False
1,acc_pca__pca1_var_ratio,0.0011172774089668908,180.0,False
1,acc_pca__pca2_var_ratio,0.0002830559069673442,275.0,False
1,acc_pca__pca3_var_ratio,0.0010383147784349652,185.0,False
1,acc_pca__dominant_axis_var_share,7.323497252780428e-05,362.0,False
1,gyro_norm__mean,0.003575257681942131,71.0,False
1,gyro_norm__std,0.0006796466855350456,216.0,False
1,gyro_norm__median,0.005713187499201481,49.0,False
1,gyro_norm__min,8.926299518198391e-05,351.0,False
1,gyro_norm__max,0.00047896198895802227,250.0,False
1,gyro_norm__range,0.0007399721535919985,209.0,False
1,gyro_norm__iqr,0.002649891403176527,110.0,False
1,gyro_norm__rms,0.0031540977820510943,90.0,False
1,gyro_norm__energy_mean,0.0022341506139592375,126.0,False
1,gyro_norm__abs_mean,0.006810634840817699,45.0,False
1,gyro_norm__diff_abs_mean,0.0005800852872104477,231.0,False
1,gyro_norm__diff_rms,0.00027875169751678087,276.0,False
1,gyro_norm__slope,9.397002221988047e-05,346.0,False
1,gyro_norm__zero_crossing_rate,8.712611398732619e-05,353.0,False
1,gyro_norm__skewness,0.0005656869521772928,235.0,False
1,gyro_norm__kurtosis,0.0002840012295674994,274.0,False
1,gyro_norm__dominant_freq_ratio,0.0003111904963284557,269.0,False
1,gyro_norm__spectral_entropy,0.0006378909456474651,221.0,False
1,gyro_norm__low_band_ratio,0.000246113601540609,287.0,False
1,gyro_norm__mid_band_ratio,0.0010072798922607373,187.0,False
1,gyro_norm__high_band_ratio,0.000294610060469108,271.0,False
1,gyro_norm__haar_l1_energy_ratio,0.002713112744805999,106.0,False
1,gyro_norm__haar_l2_energy_ratio,0.004559134317071893,58.0,False
1,gyro_norm__haar_l3_energy_ratio,0.0034469213378698215,77.0,False
1,gyro_norm__haar_l4_energy_ratio,0.0002521381018162665,285.0,False
1,gyro_pca__pca1_var_ratio,5.878000612457093e-05,368.0,False
1,gyro_pca__pca2_var_ratio,5.6143926686784716e-05,369.0,False
1,gyro_pca__pca3_var_ratio,0.0019834818388146684,136.0,False
1,gyro_pca__dominant_axis_var_share,3.515655325946291e-05,377.0,False
1,mag_norm__mean,0.003222129651878983,87.0,False
1,mag_norm__std,0.00034268510788443925,263.0,False
1,mag_norm__median,0.0018983025472356751,140.0,False
1,mag_norm__min,0.002137231461000341,134.0,False
1,mag_norm__max,0.0022587490099962924,123.0,False
1,mag_norm__range,0.0006322082810573481,223.0,False
1,mag_norm__iqr,0.0007200929317163918,210.0,False
1,mag_norm__rms,0.0031918540542451718,89.0,False
1,mag_norm__energy_mean,0.0035604145129579266,72.0,False
1,mag_norm__abs_mean,0.0029910501643607987,96.0,False
1,mag_norm__diff_abs_mean,0.0007780043266200923,207.0,False
1,mag_norm__diff_rms,0.0003862948096197084,259.0,False
1,mag_norm__slope,0.00014982058541889215,321.0,False
1,mag_norm__zero_crossing_rate,0.0004906772877024074,246.0,False
1,mag_norm__skewness,0.0028429618677380548,101.0,False
1,mag_norm__kurtosis,7.763153882157911e-05,359.0,False
1,mag_norm__dominant_freq_ratio,0.00020449742821193793,304.0,False
