stage,fold,train_subjects,val_subject,test_subject,val_accuracy,val_macro_f1,val_balanced_accuracy,test_accuracy,test_macro_f1,test_balanced_accuracy,n_features
progression_kg__balanced_logistic_C0.1,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.49110320284697506,0.45973412419608534,0.5982479338842975,0.4105263157894737,0.395326419701773,0.5908695652173913,4
progression_kg__balanced_logistic_C1,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.5124555160142349,0.49537641306777863,0.610931129476584,0.4105263157894737,0.4060525295654758,0.6003411835748792,4
progression_kg__extra_trees_depth4,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.4199288256227758,0.4079145176351119,0.5705895316804408,0.32280701754385965,0.3113928608803139,0.5171407004830918,4
progression_kg__extra_trees_depth6,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.47330960854092524,0.4641862772007377,0.6022809917355372,0.36140350877192984,0.3549950633505092,0.5491274154589372,4
progression_kg__rf_depth5,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.4804270462633452,0.49178817939504793,0.6013002754820936,0.44912280701754387,0.4462192135866044,0.6139673913043479,4
progression_kg_motion__balanced_logistic_C0.1,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.5124555160142349,0.45856252162404443,0.5997465564738292,0.3929824561403509,0.3831355573223719,0.5624003623188406,9
progression_kg_motion__balanced_logistic_C1,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.5302491103202847,0.5020495969246976,0.6201542699724518,0.4,0.4008223475236118,0.5774094202898551,9
progression_kg_motion__extra_trees_depth4,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.39501779359430605,0.3774344752028175,0.5492231404958677,0.3087719298245614,0.2980672514619883,0.5096678743961353,9
progression_kg_motion__extra_trees_depth6,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.46619217081850534,0.45342495639509783,0.6026887052341598,0.3649122807017544,0.3570112171595719,0.5592059178743961,9
progression_kg_motion__rf_depth5,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.5160142348754448,0.5228571780470983,0.6328815426997245,0.43157894736842106,0.4224123549981674,0.5923520531400965,9
progression_kg_drift__balanced_logistic_C0.1,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.501779359430605,0.4769308338720103,0.6106556473829201,0.35789473684210527,0.3509330368689536,0.5744082125603864,8
progression_kg_drift__balanced_logistic_C1,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.5195729537366548,0.5082272650825486,0.6259614325068871,0.36140350877192984,0.3611885504392747,0.5745380434782609,8
progression_kg_drift__extra_trees_depth4,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.4092526690391459,0.3954137528218468,0.5605289256198347,0.3157894736842105,0.3079428735883901,0.5219082125603864,8
