level,feature,group,n,raw_spearman,raw_pearson,exercise_centered_spearman,subject_centered_spearman,subject_exercise_centered_spearman,abs_raw_spearman,abs_subject_exercise_centered_spearman
rep,gyro_mag_mean,waveform_shape,1945,0.06638880048225534,0.0333626409125225,0.05686577297284963,-0.07655307263254096,-0.12253061209021487,0.06638880048225534,0.12253061209021487
rep,gyro_mag_std,waveform_shape,1945,-0.06638880048225534,-0.04250056440962045,-0.05689499157172365,0.0703941929534744,0.11845932328890524,0.06638880048225534,0.11845932328890524
rep,gy_range,waveform_intensity,1945,-0.06401215172457915,-0.05742757348396328,-0.030339351739103165,0.01086716301670297,0.0835971350550934,0.06401215172457915,0.0835971350550934
rep,gz_slope,shape_trend,1945,-0.06344728192297,-0.056098240590001215,0.0042196224091706775,-0.06102922660779074,-0.031918374115610486,0.06344728192297,0.031918374115610486
rep,pca_range_change_from_first2,fatigue_drift,1945,-0.06211288099600418,-0.04202428604530893,-0.07370599909058818,-0.010285786144005356,-0.0052734554376315445,0.06211288099600418,0.0052734554376315445
rep,phase_balance_abs,phase,1945,0.060434561333641286,0.05120589481819849,0.06342675656635063,0.07585774412202462,0.06295501246147324,0.060434561333641286,0.06295501246147324
rep,az_diff_abs_mean,waveform_intensity,1945,-0.05913178355118487,-0.0626598195418002,-0.0789813977469726,-0.03780447062516774,-0.10157372776182765,0.05913178355118487,0.10157372776182765
rep,gx_slope,shape_trend,1945,0.059018675950227015,0.0413739838874137,0.060753423163265506,0.004476453795781648,-0.026503320042173494,0.059018675950227015,0.026503320042173494
rep,acc_diff_change_from_first2,fatigue_drift,1945,0.05875993136513235,0.07578426334311289,0.07239902771467074,0.050464919238661025,0.0889217969747008,0.05875993136513235,0.0889217969747008
rep,az_diff_rms,waveform_intensity,1945,-0.05733927949671829,-0.061565464175184104,-0.08154238571338687,-0.040685950419319016,-0.10701464276406196,0.05733927949671829,0.10701464276406196
rep,pca_slope,shape_trend,1945,0.05622257356317671,0.04611779372096739,0.06208122884785666,0.03476053568188633,0.054995034244821446,0.05622257356317671,0.054995034244821446
rep,ay_std,waveform_shape,1945,-0.051916326209726874,-0.05554388063761059,-0.05252875550586556,-0.05238724889073134,-0.05329569187942911,0.051916326209726874,0.05329569187942911
rep,gyro_mag_slope,shape_trend,1945,0.05014495831508719,0.04213023100236244,0.050193189446059154,0.053065591510640144,0.057988378243301934,0.05014495831508719,0.057988378243301934
rep,concentric_sec,tut,1945,-0.048903487869791776,0.003706813544851705,-0.002439477782325569,-0.0354055818257182,0.0406725402736035,0.048903487869791776,0.0406725402736035
rep,mz_range,waveform_intensity,1945,-0.0476389047198259,-0.0541773551044825,-0.016043115825904966,-0.05686803302808147,-0.023079851869989593,0.0476389047198259,0.023079851869989593
rep,rep_duration_sec,tut,1945,-0.047297673509527,-0.0003332405771242948,-0.03818535862781969,0.025340701954683277,0.021229209856309526,0.047297673509527,0.021229209856309526
rep,mx_range,waveform_intensity,1945,-0.04641650733430934,-0.04304369809259144,0.0004123366190353871,-0.014359300272714254,0.06759828976187252,0.04641650733430934,0.06759828976187252
rep,gx_diff_rms,waveform_intensity,1945,-0.03870124556063698,-0.07755817295132493,-0.05776065648542341,-0.07628224471949473,-0.19194296205481554,0.03870124556063698,0.19194296205481554
rep,az_range,waveform_intensity,1945,-0.03833460470025012,-0.03846648994886269,-0.047269500184832114,-0.014089168933938006,-0.021646126641940825,0.03833460470025012,0.021646126641940825
rep,ay_mean,waveform_shape,1945,0.03662246734281979,0.02001910326902452,0.026727807952418175,0.028288086542082654,0.02152701573820076,0.03662246734281979,0.02152701573820076
rep,gy_rms,waveform_shape,1945,0.03595649264455788,0.03457837920671414,0.036683633442608235,0.04353588176947958,0.04383782608378888,0.03595649264455788,0.04383782608378888
rep,duration_cv_so_far,variability,1945,0.03398973500346203,0.020676436886260106,0.04483436512066628,0.06886275053053516,0.017404610987408756,0.03398973500346203,0.017404610987408756
rep,eccentric_gain_from_first2,fatigue_drift,1945,0.03139813095602505,0.03141352366509345,0.020802539457460405,0.1460318567265882,0.13383883712882913,0.03139813095602505,0.13383883712882913
rep,acc_mag_std,waveform_shape,1945,0.030985786044963087,-0.0207266951468811,-0.01365989112358522,-0.01150298850628582,0.06865779113057026,0.030985786044963087,0.06865779113057026
rep,acc_mag_mean,waveform_shape,1945,-0.030985786044963087,0.03795852692271614,0.026443556227069575,0.02523729771099625,-0.06414412982993252,0.030985786044963087,0.06414412982993252
rep,ax_std,waveform_shape,1945,0.030444462663093606,0.03086365093473834,0.022086097262014822,0.03311549871963531,0.021472613162913965,0.030444462663093606,0.021472613162913965
rep,ay_rms,waveform_shape,1945,-0.029332446466933025,-0.030975304387150467,-0.0340400487388016,-0.02546621442345611,-0.03250005035709151,0.029332446466933025,0.03250005035709151
rep,ax_diff_rms,waveform_intensity,1945,-0.02817258309440431,-0.02817134178608533,0.05476920291139673,-0.07161190428805521,-0.07688037019693193,0.02817258309440431,0.07688037019693193
rep,mag_mag_range,waveform_intensity,1945,-0.02675028255205238,0.02664961848134648,-0.03670062771258673,-0.008618904307399023,-0.05959614141430331,0.02675028255205238,0.05959614141430331
rep,ax_diff_abs_mean,waveform_intensity,1945,-0.026106614210678152,-0.02212317203509853,0.05703133742093972,-0.07076506165600105,-0.06816704589970211,0.026106614210678152,0.06816704589970211
rep,eccentric_sec,tut,1945,-0.025465643195051933,0.024566128758405574,-0.06545049159959412,0.09019250810243346,0.01737687003550858,0.025465643195051933,0.01737687003550858
rep,mag_mag_std,waveform_shape,1945,-0.024674050858446116,0.019396049277808976,-0.029915132753926935,-0.00958144433679395,-0.06461587792406612,0.024674050858446116,0.06461587792406612
rep,mag_mag_mean,waveform_shape,1945,0.024674050858446116,-0.04329894910997299,0.012312566680913012,-0.009777852995452821,0.0569529560063649,0.024674050858446116,0.0569529560063649
rep,gx_diff_abs_mean,waveform_intensity,1945,-0.02450510503587739,-0.06524845298110951,-0.036390650390536315,-0.08646453819777768,-0.1949317190471949,0.02450510503587739,0.1949317190471949
rep,mag_mag_diff_abs_mean,waveform_intensity,1945,-0.024162097640375007,0.006300816138090582,-0.04410507984580312,-0.018946532215927542,-0.009300991132212324,0.024162097640375007,0.009300991132212324
rep,acc_mag_rms,waveform_shape,1945,-0.024090634128437496,-0.007006649237082819,-0.027302689856217213,-0.008781671833539896,0.00013414839566364562,0.024090634128437496,0.00013414839566364562
rep,similarity_std_so_far,variability,1945,0.023151495382670948,0.042512302927562674,0.062177387103961514,-0.020426016609447185,-0.04001018996053604,0.023151495382670948,0.04001018996053604
rep,acc_mag_slope,shape_trend,1945,0.02185111982533641,-0.015083343935107144,0.022643897041765296,0.0671888028611273,0.02140400692736673,0.02185111982533641,0.02140400692736673
rep,pca_rms,waveform_shape,1945,-0.021374821888722462,-0.0219615486021,-0.019450927173793063,-0.016275732072277373,-0.006939880123634217,0.021374821888722462,0.006939880123634217
rep,az_slope,shape_trend,1945,-0.020399591367306336,-0.016769194411595044,-0.007608866511209204,-0.025803134615318975,0.016401991347307677,0.020399591367306336,0.016401991347307677
rep,eccentric_ratio,phase,1945,0.020212564231297917,0.04525236767357736,-0.0352232535334031,0.07733276587153487,-0.019888536101840153,0.020212564231297917,0.019888536101840153
rep,pca_std,waveform_shape,1945,-0.019904743817468772,-0.020624398190308712,-0.016254453038267565,-0.013072554077993246,-0.003821734353936675,0.019904743817468772,0.003821734353936675
rep,mag_mag_rms,waveform_shape,1945,0.018903015451534454,0.0061241978400935725,0.010310540552346347,0.004782811147785291,-0.004430052422997288,0.018903015451534454,0.004430052422997288
rep,gy_std,waveform_shape,1945,0.01776795424167759,0.017758221762917414,0.020365906069704717,0.02443521501908781,0.025726527444102133,0.01776795424167759,0.025726527444102133
rep,gx_std,waveform_shape,1945,-0.016221751104200547,-0.018941124668240723,-0.0008785443929803562,-0.00941605199380909,0.011793526970839418,0.016221751104200547,0.011793526970839418
rep,concentric_ratio,phase,1945,-0.015567060886362684,-0.034717838681874835,0.04072771833469629,-0.07248052302964764,0.02309746296302469,0.015567060886362684,0.02309746296302469
rep,az_mean,waveform_shape,1945,0.014541722757897516,0.012291338559282522,0.025179888922572235,0.010482848492556925,0.026003418499808265,0.014541722757897516,0.026003418499808265
rep,mag_mag_diff_rms,waveform_intensity,1945,-0.014181969014648976,0.010157714709913439,-0.0379867182910618,-0.008436797444115197,-0.009386549193212157,0.014181969014648976,0.009386549193212157
rep,gyro_mag_rms,waveform_shape,1945,-0.013176688518243017,-0.002071613803950609,-0.014439620681371414,-0.009301938545425393,-0.005662725078230943,0.013176688518243017,0.005662725078230943
rep,gz_mean,waveform_shape,1945,0.012785765702456963,0.03193528591372338,0.008707529244658624,0.021151982100498925,0.014302433179284828,0.012785765702456963,0.014302433179284828
rep,gz_std,waveform_shape,1945,0.0124478908981528,0.009099111942601538,0.012689298840560479,0.01808855525357843,0.014918644284804574,0.0124478908981528,0.014918644284804574
rep,ax_slope,shape_trend,1945,0.011486898783662299,0.0028188479285839434,-0.04728276008659049,0.010688538209108435,-0.030471483160716798,0.011486898783662299,0.030471483160716798
