plot,file,subject,exercise,set_id,set_start,set_end,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/054_kevin0509workout_db_bench_press_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_bench_press,2,20890,24245,0.5,12,23,5,18,7,0.2174,0.4167,0.2857,0.6269
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/055_kevin0509workout_db_biceps_curl_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_biceps_curl,0,226852,230829,0.5,12,12,12,0,0,1.0,1.0,1.0,0.9517
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/056_kevin0509workout_db_biceps_curl_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_biceps_curl,1,240317,244169,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8663
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/057_kevin0509workout_db_biceps_curl_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_biceps_curl,2,253518,258055,0.5,12,2,0,2,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/058_kevin0509workout_db_rdl_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_rdl,0,86297,90269,0.5,12,11,6,5,6,0.5455,0.5,0.5217,0.6489
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/059_kevin0509workout_db_rdl_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_rdl,1,96504,100510,0.5,12,12,11,1,1,0.9167,0.9167,0.9167,0.588
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/060_kevin0509workout_db_rdl_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_rdl,2,108375,112103,0.5,12,12,11,1,1,0.9167,0.9167,0.9167,0.6844
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/061_kevin0509workout_db_shoulder_press_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,0,180405,181174,0.5,3,7,1,6,2,0.1429,0.3333,0.2,0.5779
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/062_kevin0509workout_db_shoulder_press_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,1,188153,190943,0.5,12,12,10,2,2,0.8333,0.8333,0.8333,0.7402
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/063_kevin0509workout_db_shoulder_press_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,2,198200,201408,0.5,12,12,10,2,2,0.8333,0.8333,0.8333,0.6581
