recv_time,timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
2026-03-11T17:23:07.895294,1680969,-523.0,1353.0,18201.0,-134.0,-37.0,-134.0,3873.0,5261.0,-3131.0
2026-03-11T17:23:07.905381,1680979,-1017.0,1262.0,16313.0,-181.0,-28.0,-168.0,3882.0,5261.0,-3131.0
2026-03-11T17:23:07.916857,1680989,-1363.0,1315.0,15835.0,-162.0,-47.0,-136.0,3882.0,5266.0,-2995.0
2026-03-11T17:23:07.918690,1680999,-575.0,988.0,16169.0,-162.0,-47.0,-136.0,3871.0,5266.0,-2995.0
2026-03-11T17:23:07.918746,1681009,-1359.0,1020.0,14306.0,-119.0,-45.0,-198.0,3871.0,5263.0,-3009.0
2026-03-11T17:23:07.934480,1681019,-606.0,1022.0,15863.0,-124.0,-2.0,-169.0,3883.0,5263.0,-3009.0
2026-03-11T17:23:07.942562,1681029,-274.0,892.0,16188.0,-155.0,-60.0,-158.0,3883.0,5263.0,-3075.0
2026-03-11T17:23:07.946097,1681039,-819.0,1278.0,16643.0,-130.0,-47.0,-221.0,3881.0,5255.0,-3075.0
2026-03-11T17:23:07.956074,1681049,-824.0,913.0,14849.0,-118.0,-25.0,-148.0,3881.0,5245.0,-3116.0
2026-03-11T17:23:07.967365,1681059,-914.0,1235.0,16316.0,-186.0,-37.0,-218.0,3896.0,5245.0,-3116.0
2026-03-11T17:23:07.976134,1681069,-1456.0,1332.0,15569.0,-179.0,-70.0,-167.0,3896.0,5255.0,-3127.0
2026-03-11T17:23:07.990526,1681079,-1164.0,1026.0,14800.0,-179.0,-70.0,-208.0,3880.0,5255.0,-3127.0
2026-03-11T17:23:07.996106,1681089,-222.0,904.0,16430.0,-181.0,-56.0,-208.0,3880.0,5249.0,-3151.0
2026-03-11T17:23:08.006189,1681099,-241.0,1006.0,16947.0,-146.0,-78.0,-181.0,3897.0,5249.0,-3151.0
2026-03-11T17:23:08.016408,1681109,-839.0,1295.0,17000.0,-153.0,-37.0,-195.0,3897.0,5249.0,-3045.0
2026-03-11T17:23:08.026787,1681119,-1036.0,1185.0,15995.0,-172.0,-74.0,-165.0,3875.0,5250.0,-3045.0
