recv_time,timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,roll,pitch,yaw
2026-03-11T17:28:58.948,2032021,-885.0,978.0,15589.0,-127.0,-57.0,-203.0,4016.0,5336.0,-3113.0,-71.87504062298245,-19.912843660804366,-42.551049900004045
2026-03-11T17:28:58.957,2032031,-587.0,1117.0,16766.0,-100.0,-62.0,-225.0,4016.0,5336.0,-3113.0,-71.34130821376647,-20.082171771752872,-42.70502181416148
2026-03-11T17:28:58.962,2032041,-1011.0,1259.0,16249.0,-136.0,-71.0,-222.0,4023.0,5329.0,-3094.0,-71.15867161029202,-20.305334397637804,-42.85352304209589
2026-03-11T17:28:58.972,2032051,-1075.0,1072.0,15085.0,-158.0,-75.0,-144.0,4023.0,5329.0,-3094.0,-71.20260153392735,-20.552908707151502,-42.26253914636492
2026-03-11T17:28:58.982,2032061,-630.0,1214.0,16761.0,-158.0,-75.0,-144.0,4018.0,5328.0,-3111.0,-71.24409546943417,-20.833911355864945,-41.70166348192955
2026-03-11T17:28:58.992,2032071,-1173.0,1394.0,16244.0,-186.0,-44.0,-230.0,4018.0,5328.0,-3111.0,-71.54391566321182,-20.766129937640695,-41.96572662891762
2026-03-11T17:28:59.015,2032081,-910.0,1081.0,15342.0,-173.0,-31.0,-186.0,4028.0,5328.0,-3115.0,-71.72782915792132,-20.586885206288855,-41.77937396018539
2026-03-11T17:28:59.018,2032091,-1247.0,1529.0,16616.0,-128.0,-24.0,-263.0,4028.0,5328.0,-3115.0,-71.44252184544163,-20.32486936198727,-42.33783773702064
2026-03-11T17:28:59.022,2032101,-372.0,1078.0,16906.0,-135.0,-31.0,-187.0,4027.0,5342.0,-3118.0,-71.2637016413393,-20.19701237065573,-42.15148806706205
2026-03-11T17:28:59.032,2032111,-1079.0,1198.0,15878.0,-150.0,-43.0,-208.0,4027.0,5342.0,-3118.0,-71.22213142990647,-20.1369399069015,-42.173541442618
2026-03-11T17:28:59.046,2032121,-699.0,1050.0,16178.0,-120.0,-37.0,-135.0,4031.0,5342.0,-3115.0,-70.89941966047539,-20.0474242698433,-41.51749430991244
2026-03-11T17:28:59.052,2032131,-1268.0,1418.0,16553.0,-158.0,-77.0,-133.0,4031.0,5342.0,-3115.0,-70.93190635965622,-20.313785417432282,-40.88568330406724
2026-03-11T17:28:59.062,2032141,-368.0,998.0,16787.0,-172.0,-44.0,-252.0,4018.0,5325.0,-3090.0,-71.1308227645234,-20.31363753950469,-41.41270056300591
2026-03-11T17:28:59.073,2032151,-1058.0,1151.0,15958.0,-172.0,-44.0,-252.0,4018.0,5325.0,-3090.0,-71.31129792618428,-20.262898702786863,-41.900754779655834
2026-03-11T17:28:59.082,2032161,-243.0,975.0,17112.0,-118.0,-44.0,-142.0,4023.0,5343.0,-3107.0,-70.97625101150426,-20.272595522828233,-41.33405787491352
2026-03-11T17:28:59.092,2032171,-994.0,1067.0,15432.0,-134.0,-49.0,-234.0,4023.0,5343.0,-3107.0,-70.79082094363143,-20.27381023922555,-41.68030962582306
2026-03-11T17:28:59.102,2032181,-441.0,1119.0,16931.0,-135.0,-62.0,-177.0,4024.0,5340.0,-3126.0,-70.6223789047956,-20.446158169301995,-41.474673338269916
2026-03-11T17:28:59.112,2032191,-1222.0,1118.0,15147.0,-110.0,-67.0,-190.0,4024.0,5340.0,-3126.0,-70.20350439709999,-20.601836044746065,-41.43365131486958
2026-03-11T17:28:59.122,2032201,-891.0,1394.0,17167.0,-129.0,-62.0,-168.0,4012.0,5331.0,-3105.0,-69.97078703486102,-20.738172038052817,-41.21261760145462
2026-03-11T17:28:59.132,2032211,-811.0,1052.0,15808.0,-159.0,-52.0,-172.0,4012.0,5331.0,-3105.0,-70.05342451371827,-20.77440043788014,-41.037614965836354
2026-03-11T17:28:59.142,2032221,-857.0,1213.0,16370.0,-155.0,-30.0,-263.0,4020.0,5332.0,-3097.0,-70.08659976423662,-20.59313990122355,-41.73141514286218
2026-03-11T17:28:59.153,2032231,-885.0,1250.0,16404.0,-155.0,-30.0,-134.0,4020.0,5332.0,-3097.0,-70.11671636266865,-20.413692733382433,-41.155179098885725
2026-03-11T17:28:59.162,2032241,-820.0,1209.0,16213.0,-148.0,-64.0,-134.0,4012.0,5344.0,-3103.0,-70.0794892117292,-20.574871655452377,-40.615196006532486
2026-03-11T17:28:59.172,2032251,-790.0,1286.0,16781.0,-170.0,-29.0,-263.0,4012.0,5344.0,-3103.0,-70.25625430785912,-20.39382506139025,-41.30945027086115
2026-03-11T17:28:59.182,2032261,-993.0,1216.0,15995.0,-185.0,-57.0,-168.0,4003.0,5334.0,-3115.0,-70.5771796669985,-20.473703039509193,-41.0421244995848
2026-03-11T17:28:59.192,2032271,-448.0,904.0,15923.0,-150.0,-43.0,-240.0,4003.0,5334.0,-3115.0,-70.57064851714851,-20.453448479646255,-41.47160867794573
2026-03-11T17:28:59.202,2032281,-803.0,1322.0,16930.0,-120.0,-62.0,-170.0,4002.0,5337.0,-3121.0,-70.24593651485792,-20.59783333238786,-41.23690542935655
2026-03-11T17:28:59.212,2032291,-999.0,1157.0,16025.0,-151.0,-16.0,-178.0,4002.0,5337.0,-3121.0,-70.23822634827603,-20.27151725724939,-41.075496321994386
2026-03-11T17:28:59.224,2032301,-721.0,1005.0,16186.0,-135.0,-38.0,-184.0,3987.0,5332.0,-3089.0,-70.08540234889873,-20.187574120556192,-40.997994678187496
2026-03-11T17:28:59.232,2032311,-1124.0,1161.0,15883.0,-109.0,-127.0,-143.0,3987.0,5332.0,-3089.0,-69.66827999518814,-20.947678750872488,-40.59291459173097
2026-03-11T17:28:59.243,2032321,-806.0,1229.0,16931.0,-109.0,-127.0,-143.0,3975.0,5328.0,-3106.0,-69.26007945966983,-21.7189578646724,-40.25389927165973
2026-03-11T17:28:59.253,2032331,-1039.0,946.0,14926.0,-158.0,-47.0,-250.0,3975.0,5328.0,-3106.0,-69.35074751178414,-21.665698861863344,-40.94089612869582
2026-03-11T17:28:59.264,2032341,-828.0,1363.0,17283.0,-138.0,-72.0,-151.0,3970.0,5331.0,-3099.0,-69.22594816353909,-21.883297445060027,-40.673340691090424
2026-03-11T17:28:59.272,2032351,-781.0,969.0,15359.0,-153.0,-54.0,-269.0,3970.0,5331.0,-3099.0,-69.26862902680914,-21.916727540861373,-41.53926477665644
