model,class,support,correct,class_accuracy_recall,precision,recall,f1_score
ridge_raw,5,353,95,0.26912181303116145,0.2526595744680851,0.26912181303116145,0.2606310013717421
ridge_raw,6,301,71,0.23588039867109634,0.20760233918128654,0.23588039867109634,0.2208398133748056
ridge_raw,7,237,43,0.18143459915611815,0.18614718614718614,0.18143459915611815,0.18376068376068377
ridge_raw,8,164,19,0.11585365853658537,0.16379310344827586,0.11585365853658537,0.1357142857142857
ridge_raw,9,96,5,0.052083333333333336,0.1388888888888889,0.052083333333333336,0.07575757575757576
ridge_raw,10,12,1,0.08333333333333333,0.0625,0.08333333333333333,0.07142857142857142
ridge_affine_train_cal,1,115,2,0.017391304347826087,0.2,0.017391304347826087,0.032
ridge_affine_train_cal,2,54,1,0.018518518518518517,0.02040816326530612,0.018518518518518517,0.019417475728155338
ridge_affine_train_cal,3,149,24,0.1610738255033557,0.125,0.1610738255033557,0.14076246334310852
ridge_affine_train_cal,4,196,54,0.2755102040816326,0.17197452229299362,0.2755102040816326,0.21176470588235294
ridge_affine_train_cal,5,353,93,0.26345609065155806,0.25067385444743934,0.26345609065155806,0.2569060773480663
ridge_affine_train_cal,6,301,69,0.2292358803986711,0.20474777448071216,0.2292358803986711,0.21630094043887146
ridge_affine_train_cal,7,237,44,0.18565400843881857,0.19047619047619047,0.18565400843881857,0.18803418803418803
ridge_affine_train_cal,8,164,21,0.12804878048780488,0.17647058823529413,0.12804878048780488,0.14840989399293286
ridge_affine_train_cal,9,96,7,0.07291666666666667,0.1891891891891892,0.07291666666666667,0.10526315789473684
ridge_affine_train_cal,10,12,1,0.08333333333333333,0.058823529411764705,0.08333333333333333,0.06896551724137931
balanced_rf_classifier,1,115,21,0.1826086956521739,0.21,0.1826086956521739,0.19534883720930232
balanced_rf_classifier,2,54,1,0.018518518518518517,0.07692307692307693,0.018518518518518517,0.029850746268656716
balanced_rf_classifier,3,149,7,0.04697986577181208,0.09333333333333334,0.04697986577181208,0.0625
balanced_rf_classifier,4,196,13,0.0663265306122449,0.11926605504587157,0.0663265306122449,0.08524590163934426
balanced_rf_classifier,5,353,119,0.3371104815864023,0.21364452423698385,0.3371104815864023,0.26153846153846155
balanced_rf_classifier,6,301,81,0.2691029900332226,0.20199501246882792,0.2691029900332226,0.23076923076923078
balanced_rf_classifier,7,237,32,0.1350210970464135,0.17777777777777778,0.1350210970464135,0.15347721822541965
balanced_rf_classifier,8,164,28,0.17073170731707318,0.1794871794871795,0.17073170731707318,0.175
balanced_rf_classifier,9,96,8,0.08333333333333333,0.15384615384615385,0.08333333333333333,0.10810810810810811
balanced_rf_classifier,10,12,1,0.08333333333333333,0.029411764705882353,0.08333333333333333,0.043478260869565216
balanced_extra_trees_classifier,1,115,27,0.23478260869565218,0.18,0.23478260869565218,0.2037735849056604
balanced_extra_trees_classifier,2,54,1,0.018518518518518517,0.05,0.018518518518518517,0.02702702702702703
balanced_extra_trees_classifier,3,149,15,0.10067114093959731,0.11450381679389313,0.10067114093959731,0.10714285714285714
balanced_extra_trees_classifier,4,196,35,0.17857142857142858,0.17412935323383086,0.17857142857142858,0.17632241813602015
balanced_extra_trees_classifier,5,353,87,0.24645892351274787,0.2196969696969697,0.24645892351274787,0.23230974632843793
balanced_extra_trees_classifier,6,301,67,0.22259136212624583,0.20489296636085627,0.22259136212624583,0.21337579617834396
balanced_extra_trees_classifier,7,237,34,0.14345991561181434,0.17525773195876287,0.14345991561181434,0.15777262180974477
balanced_extra_trees_classifier,8,164,25,0.1524390243902439,0.19083969465648856,0.1524390243902439,0.1694915254237288
balanced_extra_trees_classifier,9,96,23,0.23958333333333334,0.24468085106382978,0.23958333333333334,0.24210526315789474
balanced_extra_trees_classifier,10,12,1,0.08333333333333333,0.030303030303030304,0.08333333333333333,0.044444444444444446
balanced_logistic_classifier,1,115,43,0.3739130434782609,0.1799163179916318,0.3739130434782609,0.24293785310734464
balanced_logistic_classifier,2,54,4,0.07407407407407407,0.024096385542168676,0.07407407407407407,0.03636363636363636
balanced_logistic_classifier,3,149,15,0.10067114093959731,0.0847457627118644,0.10067114093959731,0.09202453987730061
balanced_logistic_classifier,4,196,29,0.14795918367346939,0.13551401869158877,0.14795918367346939,0.14146341463414633
balanced_logistic_classifier,5,353,32,0.0906515580736544,0.2302158273381295,0.0906515580736544,0.13008130081300814
balanced_logistic_classifier,6,301,21,0.06976744186046512,0.20588235294117646,0.06976744186046512,0.10421836228287841
balanced_logistic_classifier,7,237,37,0.15611814345991562,0.19473684210526315,0.15611814345991562,0.17330210772833723
balanced_logistic_classifier,8,164,29,0.17682926829268292,0.13875598086124402,0.17682926829268292,0.1554959785522788
balanced_logistic_classifier,9,96,25,0.2604166666666667,0.125,0.2604166666666667,0.16891891891891891
balanced_logistic_classifier,10,12,1,0.08333333333333333,0.024390243902439025,0.08333333333333333,0.03773584905660377
